Slokam,Slokam_en,"Slokam Meaning"
"<p>भ्राजिष्णुर्भोजनं भोक्ता सहिष्णुर्जगदादिजः ।<br>अनघो विजयो जेता विश्वयोनिः पुनर्वसुः ॥ १६॥</p>","<p>bhrājiṣṇurbhōjanaṁ bhōktā sahiṣṇurjagadādijaḥ,<br>anaghō vijayō jetā viśvayōniḥ punarvasuḥ. (16)</p>","  <p><strong>143</strong><strong>. Bhrājiṣṇuḥ</strong> / One who is effulgent. Om brajishnave namah.</p>
    <p><strong>144. Bhojanam</strong> / One who is the object of enjoyment. Om bhojanaya namah.</p>
    <p><strong>145. Bhoktā</strong> / The Enjoyer. Om bhoktre namah.</p>
    <p><strong>146. Sahiṣṇuḥ</strong> / The Forgiver. Om sahishnave namah.</p>
    <p><strong>147. Jagadādhijaḥ</strong> / He who was born at the beginning of the Universe. Om jagadadijaya namah.</p>
    <p><strong>148. Anaghaḥ</strong> / One who is Sinless, uncontaminated. Om anaghaya namah.</p>
    <p><strong>149. Vijayaḥ</strong> / Victory Incarnate. Om vijayaya namah.</p>
    <p><strong>150. Jetā</strong> / The conqueror. Om jetre namah.</p>
    <p><strong>151. Viśvayoniḥ</strong> / The Cause of the Universe. Om visva-yonaye namah.</p>
    <p><strong>152. Punarvasuḥ</strong> / One who lives again and again as the antaratma of all His creations.</p>"
"<p>उपेन्द्रो वामनः प्रांशुरमोघः शुचिरूर्जितः ।<br>अतीन्द्रः सङ्ग्रहः सर्गो धृतात्मा नियमो यमः ॥ १७॥</p>","<p>upendrō vāmanaḥ prāṁśuramōghaḥ śucirūrjitaḥ.<br>atīndraḥ saṅgrahaḥ sargō dhṛtātmā niyamō yama. (17)</p>","   <p><strong>153. Upendraḥ</strong> / a) One who appeared as the younger brother of Indra to help him. b) One who is superior to Indra. Om upendraya namah.</p>
    <p><strong>154. Vāmanaḥ</strong> / One with the Dwarf form. Om vamanaya namah.</p>
    <p><strong>155. Prāṁśuḥ</strong> / The Tall. Om pramsave namah.</p>
    <p><strong>156. Amoghaḥ</strong> / One whose acts are never purposeless. Om amoghaya namah.</p>
    <p><strong>157. Śuchiḥ</strong> / Pure. Om sucaye namah.</p>
    <p><strong>158. Ūrjitaḥ</strong> / One who is endowed with immense strength. Om Urjitaya namah.</p>
    <p><strong>159. Atīndraḥ</strong> / One who is superior to Indra. Om atindraya namah.</p>
    <p><strong>160. Saṅgrahaḥ</strong> / a) He who is easily reached. b) He who has everyone under His control. Om samgrahaya namah.</p>
    <p><strong>161. Sargaḥ</strong> / The creator of Himself. Om sargaya namah.</p>
    <p><strong>162. Dhṛtātmā</strong> / The supporter of all the jivatmas. Om dhritatmane namah.</p>
    <p><strong>163. Niyamaḥ</strong> / The Controller. Om niyamaya namah.</p>
    <p><strong>164. Yamaḥ</strong> / The Ruler. Om yamaya namah.</p>"
" <p>वेद्यो वैद्यः सदायोगी वीरहा माधवो मधुः ।<br>अतीन्द्रियो महामायो महोत्साहो महाबलः ॥ १८॥</p>"," <p>vedyō vaidyaḥ sadāyōgī vīrahā mādhavō madhuḥ,<br>atīndriyō mahāmāyō mahōtsāhō mahābalaḥ. (18)</p>","   <p><strong>165</strong><strong>. Vedyaḥ</strong> / a) He who can be realized. b) That which should be known or realized. Om vedyaya namah.</p>
    <p><strong>166. Vaidhyaḥ</strong> / The knower of vidya or knowledge. Om vaidyaya namah.</p>
    <p><strong>167. Sadāyogī</strong> / a) One who is always awake with respect to His devotees. b) One who unites this Universe as the sarva-vyapic) One who always follows the dharmic way. d) One who is in constant yogic meditation e) One who always displays the samatva-bhava, i.e., treats everyone equally. Om sada-yogine namah.</p>
    <p><strong>168. Vīrahā</strong> / The slayer of strong men of wicked nature. Om viraghne namah.</p>
    <p><strong>169. Mādhavaḥ</strong> / The propounder of the knowledge of the Supreme Being. Om madhavaya namah.</p>
    <p><strong>170. madhuh</strong> / One who is like honey to His devotees. Om madhave namah.</p>
    <p><strong>171. Atīndriyaḥ</strong> / He who is beyond the range of the sense organs. Om atIndriyaya namah.</p>
    <p><strong>172. Mahāmāyaḥ</strong> / One who is possessed of wonderful power of enchantment. Om maha-mayaya namah.</p>
    <p><strong>173. Mahotsāhaḥ</strong> / He of great enthusiasm. Om mahotsahaya namah.</p>
    <p><strong>174. Mahābalaḥ</strong> / One with immeasurable strength &ndash; The Omnipotent. Om mahabalaya namah.</p>"
" <p>महाबुद्धिर्महावीर्यो महाशक्तिर्महाद्युतिः ।<br>अनिर्देश्यवपुः श्रीमानमेयात्मा महाद्रिधृक् ॥ १९॥</p>"," <p>mahābuddhirmahāvīryō mahāśaktirmahādyutiḥ,<br>anirdeśyavapuḥ śrīmānameyātmā mahādridhṛk. (19)</p>","  <p><strong>175. Mahābuddiḥ</strong> / He of infinite knowledge. Om maha-buddhaye namah.</p>
    <p><strong>176. Mahāvīryaḥ</strong> / He of great virility. Om maha-viryaya namah.</p>
    <p><strong>177. Mahāśaktiḥ</strong> / Of immense power. Om maha-saktaye namah.</p>
    <p><strong>178. Mahādyutiḥ</strong> / He of great splendor. Om maha-dyutaye namah.</p>
    <p><strong>179. Anirdeśya-vapuḥ</strong> / He who possesses an indescribable body. Om anirdesya-vapushe namah.</p>
    <p><strong>180. Śrīmān</strong> / Possessed of beauty. Om Srimate namah.</p>
    <p><strong>181. Ameyātmā</strong> / He of an incomprehensible nature. Om ameyatmane namah.</p>
    <p><strong>182. Mahādridhṛk</strong> / The bearer of the great mountain. Om mahadri-dhrite namah.</p>"
" <p>महेष्वासो महीभर्ता श्रीनिवासः सतां गतिः ।<br>अनिरुद्धः सुरानन्दो गोविन्दो गोविदां पतिः ॥ २०॥</p>","<p>maheṣvāsō mahībhartā śrīnivāsaḥ satāṁ gatiḥ,<br>aniruddhaḥ surānandō gōvindō gōvidāṁ patiḥ. (20)</p>","<p><strong>183. Maheṣvāsaḥ</strong> / a) The discharger of great arrows, b) The wielder of the mighty bow. Om maheshvasaya namah.</p>
    <p><strong>184. Mahībhartā</strong> / The bearer of the earth. Om mahi-bhartre namah.</p>
    <p><strong>185. Śrīnivāsaḥ&nbsp;</strong>/ In whom Lakshmi resides. Om Srinivasaya namah.</p>
    <p><strong>186. Satāṁgatiḥ</strong> / The Ultimate Goal for all spiritual seekers. Om satam-gataye namah.</p>
    <p><strong>187. Aniruddhaḥ</strong> / One who cannot be obstructed or resisted by anyone. Om aniruddhaya namah.</p>
    <p><strong>188. Surānandaḥ</strong> / One who gives delight to the gods. Om suranandaya namah.</p>
    <p><strong>189. Govindaḥ</strong> / a) One who is praised by the gods (for His help). b) One who dug out the Earth from the depths of the Ocean. c) The protector of cows. d) One who confers the Vedas. Om govindaya namah.</p>
    <p><strong>190. Govidāṁ patiḥ</strong> / The protector of those who know the Vedas. Om govidam-pataye namah.</p>"
" <p>मरीचिर्दमनो हंसः सुपर्णो भुजगोत्तमः ।<br>हिरण्यनाभः सुतपाः पद्मनाभः प्रजापतिः ॥ २१॥</p>"," <p>marīcirdamanō haṁsaḥ suparṇō bhujagōttamaḥ,<br>hiraṇyanābhaḥ sutapāḥ padmanābhaḥ prajāpati (21)</p>"," <p><strong>191. Marīciḥ</strong> / Ray of light. Om maricaye namah.&nbsp;</p>
    <p><strong>192. Damanaḥ</strong> / a) Dispeller (of the samsara bharam), b) One who controls and punishes those who swerve from their prescribed path. Om damanaya namah</p>
    <p><strong>193. Haṁsaḥ</strong> / One who is like the swan. Om hamsaya namah.</p>
    <p><strong>194. Suparṇaḥ</strong> / a) (literally) One possessed of charming feathers. b) One who can lead men to the other shore across the ocean of samsara. Om suparnaya namah.</p>
    <p><strong>195. Bhujagottamaḥ</strong> / The Master of the Serpent AdiSesha. Om bhujagottamaya namah.</p>
    <p><strong>196. Hiraṇyanābhaḥ</strong> / One who has a beautiful navel with a golden hue, One who supports in His navel the creator, hiranyagarbha. Om hiranya-nabhaya namah.</p>
    <p><strong>197. Sutapāḥ</strong> / a) One who is possessed of supreme knowledge. b) One with consistent creative thinking. Om sutapase namah.</p>
    <p><strong>198. Padmanābhaḥ</strong> / a) One who has the lotus emanating from his navel (carrying Brahma), b) One who resides in the center of everyone&rsquo;s heart. Om padma nabhaya namah.</p>
    <p><strong>199. Prajāpatiḥ</strong> / The Lord of beings. Om prajapataye namah.</p>"
"<p>अमृत्युः सर्वदृक् सिंहः सन्धाता सन्धिमान् स्थिरः ।<br>अजो दुर्मर्षणः शास्ता विश्रुतात्मा सुरारिहा ॥ २२॥</p>","<p>amṛtyuḥ sarvadṛk siṁhaḥ sandhātā sandhimān sthiraḥ,<br>ajō durmarṣaṇaḥ śāstā viśrutātmā surārihā. (22)</p>"," <p><strong>2</strong><strong>00. Amṛtyuḥ</strong> / One who is beyond death or decay. Om amrityave namah.</p>
    <p><strong>201. Sarvadṛk</strong> / All-seeing. Om sarva-drse namah.</p>
    <p><strong>202. Simhaḥ</strong> / a) The Lion, b) Destroyer. Om simhaya namah.</p>
    <p><strong>203. Sandhātā</strong> / a) One who unites His devotees with Him b) One who unites the beings with the fruits of their actions. Om sandhatre namah.</p>
    <p><strong>204. Sandhimān</strong> / One who is always united with His devotees. Om sandhimate namah.</p>
    <p><strong>205. Sthiraḥ</strong> / One who is firm in His relation to His devotees. Om sthiraya namah.</p>
    <p><strong>206. Ajaḥ</strong> / a) Unborn, b) Remover of obstacles, c) One who moves in the hearts of the devotees, d) One who removes the ignorance from the hearts of His devotees, e) One who is the root of all sound (akshara &ldquo;a&rdquo;). Om ajaya namah.</p>
    <p><strong>207. Durmarṣaṇaḥ</strong> / The Unassailable. Om durmarshanaya namah.</p>
    <p><strong>208. Śasta</strong> / The Teacher. Om sastre namah.</p>
    <p><strong>209. Vishrutatma</strong> / a) One whose exploits are praised with wonder, b) One who is called by special names (such as Truth, Knowledge, etc), c) One whose praise is sung in various forms, d) One whose Atma is of a special Nature.</p>
    <p><strong>210. Surārihā</strong> / The slayer of the enemies of the gods. Om surarighne namah.</p>"
" <p>गुरुर्गुरुतमो धाम सत्यः सत्यपराक्रमः ।<br>निमिषोऽनिमिषः स्रग्वी वाचस्पतिरुदारधीः ॥ २३॥</p>","  <p>gururgurutamō dhāmaḥ satyaḥ satyaparākramaḥ,<br>nimiṣō nimiṣaḥ sragvī vācaspatirudāradhīḥ. (23)</p>","  <p><strong>211. Guruḥ-Gurutamaḥ</strong> / The foremost among the preceptors. Om gurutamaya gurave namah.</p>
    <p><strong>212 &ndash; Dhāma</strong> / a) The Place of Residence. b) The Supreme Light. c) The Abode of all desired things. Om dhamne namah.</p>
    <p><strong>213. Satyaḥ</strong> / The Good. Om satyaya namah.</p>
    <p><strong>214. Satyaparākamaḥ</strong> / One of unfailing valor. Om satyaparakramaya namah.</p>
    <p><strong>215. Nimiṣaḥ</strong> / One whose eyes are closed (towards the enemies of His devotees). Om nimishaya namah.</p>
    <p><strong>216. Animiṣaḥ</strong> / One with eyes closed. Om animishaya namah.</p>
    <p><strong>217. Sragvī</strong> / Adorned with the garland (vaijayanti). Om sragvine namah.</p>
    <p><strong>218. Vācaspatir</strong> / The Lord of Speech. Om vacaspataye namah.</p>
    <p><strong>219. udāradhīḥ</strong> / One with vast knowledge. Om udara-dhiye namah.</p>"
"<p>अग्रणीर्ग्रामणीः श्रीमान् न्यायो नेता समीरणः ।<br>सहस्रमूर्धा विश्वात्मा सहस्राक्षः सहस्रपात् ॥ २४॥</p>"," <p>agraṇīrgrāmaṇīḥ śrīmān nyāyō netā samīraṇaḥ,<br>sahasramūrdhā viśvātmā sahasrākṣaḥ sahasrapāt. (24)</p>","    <p><strong>220. Agraṇīḥ</strong> / One who leads forward. Om agranye namah.</p>
    <p><strong>221. Grāmaṇīḥ</strong> / Leader of the hosts of angels. Om gramanye namah.</p>
    <p><strong>222. Śrīmān</strong> / a) One who is endowed with wealth. b) One who is full of all glories. c) One who is radiant. d) The Lord of Mahalakshmi e) One who has Mahalakshmi in his vaksha-sthala. f) One who is endowed with all the powers. Om Srimate namah.</p>
    <p><strong>223. Nyāyaḥ</strong> / a) The Just. b) Logical arguments (tarka) and lines of contemplation (yukti) that help us in arriving at the absolute experience. Om nyayaya namah.</p>
    <p><strong>224. Netā</strong> / a) One who fulfills the requests of His devotees. b) One who manages or regulates the affairs of the cosmos. Om netre namah.</p>
    <p><strong>225. Samīraṇaḥ</strong> / a) One who performs acts which are delectable. b) One who controls all movements (e.g., breath) in beings. Om samiranaya namah.</p>
    <p><strong>226. Sahasramūrdhā</strong> / The thousand-headed.</p>
    <p><strong>227. Viśvātmā</strong> / The very soul of the Universe; the very inner Essence in all living creatures. Om visvatmane namah. visvasya atma visvatma.&nbsp;</p>
    <p><strong>228. Sahasrākṣaḥ</strong> / The thousand-eyed.</p>
    <p><strong>229. Sahasrapāt</strong> / The thousand-footed. Om sahasra-murdhne namah; Om sahasrakshaya namah; Om sahasra-pade namah.</p>"
" <p>आवर्तनो निवृत्तात्मा संवृतः सम्प्रमर्दनः ।<br>अहः संवर्तको वह्निरनिलो धरणीधरः ॥ २५॥</p>","  <p>āvartanō nivṛttātmā saṁvṛtaḥ saṁpramardanaḥ,<br>ahaḥ saṁvartakō vahniranilō dharaṇīdharaḥ. (25)</p>","   <p><strong>230. Āvrtanaḥ</strong> / He who turns the wheel of worldly life or samsara. Om Avartanaya namah.</p>
    <p><strong>231. Nivṛttātmā</strong> / a) He whose nature rises above other things. b) He whose mind is turned away from worldly desires. c) He who is the atma of those who practice nivrtti dharma. d) He who is beyond the bonds of samsara. Om nivrittatmane namah.</p>
    <p><strong>232. Saṁvṛtaḥ</strong> / He who remains hidden. Om samvritaya namah.</p>
    <p><strong>233. Sampramardanaḥ</strong> / The dispeller (of the darkness). Om sampra-mardanaya namah.</p>
    <p><strong>234. Ahaḥ-saṁvartakaḥ</strong> / The regulator of the day (time); The Sun. Om ahah-samvartakaya namah.</p>
    <p><strong>235. Vahniḥ</strong> / The Bearer or The Carrier; The Fire. Om vahnaye namah.</p>
    <p><strong>236. Anilaḥ</strong> / a) The Giver of life-breath; The Air. b) One who needs no goading to Help His devotees. c) The Beginingless. d) One who has no binding, unaffected by virtue and vice. e) One who is beyond dissolution. f) One who is omniscient &ndash; All-Knowing. g) Easily accessible to His devotees. h) One who has no fixed residence. i) One who is not supported (by Earth etc). j) One who does not hide anywhere i.e., who is present everywhere. k) One who is always awake. Om anilaya namah.</p>
    <p><strong>237. Dharaṇī-dharaḥ</strong> / The bearer of the Earth. Om dharanI-dharaya namah.</p>"
"   <p>सुप्रसादः प्रसन्नात्मा विश्वधृग्विश्वभुग्विभुः ।<br>सत्कर्ता सत्कृतः साधुर्जह्नुर्नारायणो नरः ॥ २६॥</p>","   <p>suprasādaḥ prasannātmā viśvadhṛgviśvabhugvibhuḥ,<br>satkartā satkṛtaḥ sādhurjahnurnārāyaṇō naraḥ. (26)</p>","   <p><strong>238</strong><strong>. &nbsp;Suprasādaḥ</strong> / The Giver of good favors. Om suprasadaya namah.&nbsp;</p>
    <p><strong>239. &nbsp;Prasannātmā</strong> / He with a clear mind; Of delightful nature. Om prasannatmane namah.</p>
    <p><strong>240. &nbsp;Viśvadhṛg</strong> / The Creator of the Universe. Om viava-srije namah.&nbsp;</p>
    <p><strong>241. &nbsp;Viśvabhug-Vibhuḥ</strong> / He who pervades all things and protects them. Om visvabhug-vibhave namah.&nbsp;</p>
    <p><strong>242. &nbsp;Satkartā</strong> / He who honors the good. Om satkartre namah.&nbsp;</p>
    <p><strong>243. &nbsp;Satkṛtaḥ</strong> / He who is worshipped by the sadhus (even by those who deserve to be worshipped). Om satkritaya namah.&nbsp;</p>
    <p><strong>244. Sādhuḥ</strong> / One who carries out (whatever His devotees say). Om sadhave namah.</p>
    <p><strong>245. Jahnuḥ</strong> / The Concealer (of His greatness from the non-devotees). Om jahnave namah.</p>
    <p><strong>246. Nārāyaṇaḥ</strong> / The Supporter of the hosts of souls. Om narayanaya namah.</p>
    <p><strong>247. Naraḥ</strong> / a) He who is imperishable. b) The Leader. Om naraya namah.</p>"
" <p>असङ्ख्येयोऽप्रमेयात्मा विशिष्टः शिष्टकृच्छुचिः ।<br>सिद्धार्थः सिद्धसङ्कल्पः सिद्धिदः सिद्धिसाधनः ॥ २७॥</p>","<p>asaṅkhyeyō&rsquo;prameyātmā viśiṣṭaḥ śiṣṭakṛcchuciḥ,<br>siddhārthaḥ siddhasaṅkalpaḥ siddhidaḥ siddhisādhanaḥ. (27)</p>"," <p><strong>248</strong><strong>. Asaṅkhyeyaḥ</strong> / One whose attributes, names, forms, etc. are Innumerable. Om asankhyeyaya namah.</p>
    <p><strong>249.</strong><strong>&nbsp;Aprameyātmā</strong> / One who cannot be known through knowledge, direct or indirect. Om aprameyaya namah.</p>
    <p><strong>250. Viśiṣṭaḥ</strong> / He who is Superior. Om visishtaya namah. &nbsp;</p>
    <p><strong>251. Śiṣṭakṛt</strong> / He who makes His devotees eminent. Om aishta-krite namah.</p>
    <p><strong>252. Suciḥ</strong> / Pure. Om sucaye namah.</p>
    <p><strong>253. Siddhārthaḥ</strong> / One who is in possession of all desirable things. Om siddharthaya namah.&nbsp;</p>
    <p><strong>254. Siddhasaṅkalpaḥ</strong> / One whose wishes are always fulfilled. Om siddha-sankalpaya namah.&nbsp;</p>
    <p><strong>255. Siddhidaḥ</strong> / The bestower of siddhi-s or super-human powers. Om siddhi-daya namah.</p>
    <p><strong>256. Siddhisādhanaḥ</strong> / One who makes the means for siddhi as pleasant as the fruit itself. Om siddhi-sadhanaya namah.</p>"
" <p>वृषाही वृषभो विष्णुर्वृषपर्वा वृषोदरः ।<br>वर्धनो वर्धमानश्च विविक्तः श्रुतिसागरः ॥ २८॥</p>"," <p>vṛṣāhī vṛṣabhō viṣṇurvṛṣaparvā vṛṣōdaraḥ,<br>vardhanō vardhamānaśca viviktaḥ śrutisāgaraḥ. (28)</p>","  <p><strong>257 . Vṛṣāhī </strong> / a) One who shines in the form of dharma. b) One who makes His devotees shine like day because of their dharma. c) One who makes the day auspicious when the devotee approaches Him. d) One who reveals dharma. e) One who is the devata for the vrishaha sacrifice. f) One who has the brightness of agni etc., or is the cause of the brightness of all objects Om vrishahine namah.</p>
    <p> <strong>258. Vṛṣābhaḥ</strong>  / a) He who showers (His grace). b) He who shines because of His dharma. Om vrishabhaya namah.</p>
    <p> <strong>259. Viṣṇuḥ</strong>  / One who pervades everything. Om vishnave namah.</p>
    <p> <strong>260. Vṛṣaparva</strong>  / He who has provided the steps of dharma to reach Him. Om vrisha-parvane namah.</p>
    <p> <strong>261. Vṛṣodaraḥ</strong>  / One who has dharma as His mid-region or belly. Om vrishodharaya namah.</p>
    <p> <strong>262. Vardhanaḥ</strong>  / He who nourishes. Om vardhanaya namah.</p>
    <p> <strong>263. Vardhamānaḥ</strong>  / He who grows. Om vardhamanaya namah.</p>
    <p> <strong>264. Viviktaḥ</strong>  / He who is unique. Om viviktaya namah.</p>
    <p> <strong>265. Śrutisāgaraḥ</strong>  / He who is the sea where all Vedas take us. Om sruti-sagaraya namah.</p>"
"<p>सुभुजो दुर्धरो वाग्मी महेन्द्रो वसुदो वसुः ।<br>नैकरूपो बृहद्रूपः शिपिविष्टः प्रकाशनः ॥ २९॥</p>"," <p>subhujō durdharō vāgmī mahendrō vasudō vasuḥ,<br>naikarūpō bṛhadrūpaḥ śipiviṣṭaḥ prakāśanaḥ. (29)</p>","   <p><strong>266</strong><strong>.Subhujaḥ</strong> / One with majestic arms. Om su-bhujaya namah.&nbsp;</p>
    <p><strong>267. Durdharaḥ</strong> / a) The irresistible. b) One who is difficult to comprehend c) One who is difficult to hold in concentration d) One who cannot be supported by anyone or anything else Om durdharaua namah.&nbsp;</p>
    <p><strong>268. Vāgmi</strong> / a) He who has words which are praise-worthy. b) He who has powerful words. c) He from whom the veda-s originated. Om vagmine namah.&nbsp;</p>
    <p><strong>269. Mahendraḥ</strong> / a) He of great wealth. b) The God of Indra and other gods. Om mahendraya namah.</p>
    <p><strong>270. Vasudaḥ</strong> / The Giver of wealth. Om vasudaya namah.</p>
    <p><strong>271. Vasuḥ</strong> / He who is Himself the wealth sought by those who have realized the Truth. Om vasave namah.&nbsp;</p>
    <p><strong>272. Naikarūpaḥ</strong> / He of Infinite forms (as seen in visvarupa). Om naikarupaya namah.&nbsp;</p>
    <p><strong>273. Bṛhadrūpaḥ</strong> / He of an immense form. Om brihad-rupaya namah.</p>
    <p><strong>274. Śipiviṣṭaḥ</strong> / He who pervades the rays. Om sipi-vishtaya namah.&nbsp;</p>
    <p><strong>275. Prakāśanaḥ</strong> / a) One who shows Himself to His devotees. b) One who illumines everything. Om prakasanaya namah.</p>"
"  <p>ओजस्तेजोद्युतिधरः प्रकाशात्मा प्रतापनः ।<br>ऋद्धः स्पष्टाक्षरो मन्त्रश्चन्द्रांशुर्भास्करद्युतिः ॥ ३०॥</p>"," <p>ōjastejōdyutidharaḥ prakāśātmā pratāpanaḥ,<br>ṛddhaḥ spaṣṭākṣarō mantraścandrāṁśurbhāskaradyutiḥ. (30)</p>","<p><strong>276</strong><strong>.Ōjas-tejō-dyuti-dharaḥ</strong> / One who is endowed with strength, vigor and brilliance. om ojas-tejo-dyuti-dharaya namah.</p>
    <p><strong>277. Prakāśātmā</strong> / He of a nature that is well-known to all. Om prakasatmane namah.&nbsp;</p>
    <p><strong>278. Pratāpanaḥ</strong> / He who scorches (His enemies). Om pratapanaya namah.</p>
    <p><strong>279. Ṛddhaḥ</strong> / He who is full in all respects. Om rddhaya namah.</p>
    <p><strong>280. Spaṣṭākṣaraḥ</strong> / He of clear words (through the Vedas). Om spashtaksharaya namah.</p>
    <p><strong>281. Mantraḥ</strong> / The mystic word (He who protects those who meditate on His name). Om mantraya namah.</p>
    <p><strong>282. Candrāṁśuḥ</strong> / He who is possessed of the effulgent rays like those of the moon. Om candramsave namah.&nbsp;</p>
    <p><strong>283. Bhāskara-dyutiḥ</strong> / He who has the effulgence of the sun. Om bhaskara-dyutaye namah.</p>"
" <p>अमृतांशूद्भवो भानुः शशबिन्दुः सुरेश्वरः ।<br>औषधं जगतः सेतुः सत्यधर्मपराक्रमः ॥ ३१॥</p>","<p>amṛtāṁśūdbhavō bhānuḥ śaśabinduḥ sureśvaraḥ,<br>auṣadhaṁ jagataḥ setuḥ satyadharmaparākramaḥ. (31)</p>"," <p><strong>284</strong><strong>. Amṛtāṁśūdbhavaḥ</strong> / The source of nectar-rayed moon. Om amrtamsudbhavaya namah.&nbsp;</p>
    <p><strong>285. Bhānuḥ</strong> / The lustrous Sun or One who is Radiant. Om bhanave namah.&nbsp;</p>
    <p><strong>286. Śaśabinduḥ</strong> / a) He who disowns the evil-minded. b) The Moon c) One who controls the paths of the planets and the stars. Om sasabindave namah.</p>
    <p><strong>287. Sureśvaraḥ</strong> / The Lord of the gods. Om suresvaraya namah.&nbsp;</p>
    <p><strong>288. Auṣadham</strong> / The Medicine. Om aushadhaya namah.&nbsp;</p>
    <p><strong>289. Jagataḥ-setuḥ</strong> / a) The barrier for the world. b) The bridge for crossing the ocean of samsara. c) One who binds and keeps in-tact all that moves in this world. Om jagatah-setave namah.&nbsp;</p>
    <p><strong>290. Satya-dharma-parākramaḥ</strong> / One whose qualities and valor are always true. Om satya-dharma-parakramaya namah.</p>"
" <p>भूतभव्यभवन्नाथः पवनः पावनोऽनलः ।<br>कामहा कामकृत्कान्तः कामः कामप्रदः प्रभुः ॥ ३२॥</p>","  <p>bhūtabhavyabhavannāthaḥ pavanaḥ pāvano&rsquo;nalaḥ,<br>kāmahā kāmakṛtkāntaḥ kāmaḥ kāmapradaḥ prabhuḥ. (32)</p>","  <p><strong>291.&nbsp;</strong><strong>Bhūta-bhavya-bhavan-nāthaḥ</strong> / The Lord of all in the past, present and future. Om bhuta-bhavya-bhavan-nathaya namah.</p>
    <p><strong>292. Pavanaḥ</strong> / He who moves about (Wind). Om pavanaya namah.</p>
    <p><strong>293. Pāvanaḥ</strong> / He who purifies everything. Om pavanaya namah.</p>
    <p><strong>294. Analaḥ</strong> / One who is never satisfied (in His Mercy or daya). Om analaya namah.</p>
    <p><strong>295. Kāmahā</strong> / The Destroyer of desires. Om kama-ghne namah.</p>
    <p><strong>296. Kāmakṛt&nbsp;</strong>/&nbsp;One who creates desirable things, and also fulfils the desires. Om kama-krte namah.</p>
    <p><strong>297. Kantaḥ</strong> / He who is charming. om kantaya namah.</p>
    <p><strong>298. Kāmaḥ</strong> /The Lovable (or manmatha). om kamaya namah.</p>
    <p><strong>299. Kāmapradaḥ</strong> / The Grantor of wishes. om kama-pradaya namah.</p>
    <p><strong>300. Prabhuḥ</strong> / One who has the supreme power to attract the minds of all towards Himself; One who surpasses all in being. om prabhave namah.</p>"
"  <p>युगादिकृद्युगावर्तो नैकमायो महाशनः ।<br>अदृश्यो व्यक्तरूपश्च सहस्रजिदनन्तजित् ॥ ३३॥</p>","  <p>yugādikṛdyugāvartō naikamāyō mahāśanaḥ,<br>adṛśyō vyaktarūpaśca sahasrajidanantajit. (33)</p>","    <p><strong>301</strong><strong>. Yugādikṛd</strong> / The Creator at the beginning of a yuga. om yugadi-krte namah.&nbsp;</p>
    <p><strong>302. Yugāvartaḥ</strong> / He who revolves the yuga-s or aeons. om yugavartaya namah.&nbsp;</p>
    <p><strong>303. Naikamāyaḥ</strong> / He of multifarious wonders. om naika-mayaya namah.&nbsp;</p>
    <p><strong>304. Mahāśanaḥ</strong> / He who is a voracious eater. om mahasanAya namah.&nbsp;</p>
    <p><strong>305. Adṛśyaḥ</strong> / He Who cannot be seen. om adrsyaya namah.&nbsp;</p>
    <p><strong>3</strong><strong>06. Vyaktarūpaḥ</strong> / He of a manifest form. om vyakta-rupaya namah.&nbsp;</p>
    <p><strong>307. Sahasrajit</strong> / The Conqueror of thousands. om sahasra-jite namah.&nbsp;</p>
    <p><strong>308. Anantajit</strong> / One whose victory is endless, limitless, countless. om ananta-jite namah.&nbsp;</p>"
" <p>इष्टोऽविशिष्टः शिष्टेष्टः शिखण्डी नहुषो वृषः ।<br>क्रोधहा क्रोधकृत्कर्ता विश्वबाहुर्महीधरः ॥ ३४॥</p>","  <p>iṣṭō&rsquo;viśiṣṭaḥ śiṣṭeṣṭaḥ śikhaṇḍī nahuṣō vṛṣaḥ,<br>krōdhahā krōdhakṛtkartā viśvabāhurmahīdharaḥ. (34)</p>","  <p><strong>309. Iṣṭaḥ</strong> / a) One who is liked by everyone.</p>
    <p>b) One who is worshipped in ishti or sacrifice. om ishtaya namah.</p>
    <p><strong>310. Aviśiṣṭaḥ</strong> / a) He who is impartial to everyone. b) He who cannot be distinguished. c) He who has no equal. om avisishtaya namah.</p>
    <p><strong>311. Śiṣṭeṣṭaḥ</strong> / a) He who is dear even to eminent persons. b) He who dearly loves the eminent persons. om sishteshtaya namah.</p>
    <p><strong>312. Śikhaṇḍī</strong> / a) He who has the plume (or effulgence) of Lordship. b) He who wears a peacock feather. om sikhandine namah.</p>
    <p><strong>313. Nahuṣaḥ</strong> / One who binds (the jiva-s by His maya). om nahushaya namah.</p>
    <p><strong>314. Vṛṣaḥ</strong> / a) He who drenches (those who are scorched by the heat of samsara). b) He who showers His devotees with all that is asked for. c) He who is the embodiment of dharma. om vrshaya namah.</p>
    <p><strong>315. Krōdhahā</strong> / a) He who gave up His anger. b) He who destroys the anger in sadhus. om krodha-ghne namah.</p>
    <p><strong>316. Krōdhakṛt</strong> / He who developed anger. om krodha-krte namah.</p>
    <p><strong>317. kartā</strong> / He who slays. om kartre namah.</p>
    <p><strong>318. Viśvabāhuḥ</strong> / He who has arms for the good of the world. om visva-bahave namah.</p>
    <p><strong>319. Mahīdharaḥ</strong> / The Supporter of the world. om mahI-dharaya namah.</p>"
