Sl#,सुभाषितानि,ಸುಭಾಷಿತಗಳು,"सुभाषितानि hindi",Subhashitani
477.,"<pre>अञ्जलिस्थानि पुष्पाणि वासयन्ति करद्वयम् ।<br>अहॊ सुमनसां प्रीतिर्वामदक्षिणयॊ: समा ॥</pre>","<pre>ಬೊಗಸೆಯಲ್ಲಿರುವ ಪುಷ್ಪಗಳು ಎರಡು ಕರಗಳನ್ನು ಸುವಾಸನೆಗೊಳಿಸುತ್ತವೆ. ಅಂತೆಯೇ ಪ್ರಾಂಜಲ ಮನಸ್ಸುಳ್ಳವರು ಸಹ ಒಳ್ಳೆಯವರು-ಕೆಟ್ಟವರು ಎನ್ನದೆ ಎಲ್ಲರನ್ನೂ ಸಮಾನ ಪ್ರೀತಿಯಿಂದ ಕಾಣುತ್ತಾರೆ. </pre>","<pre>अञ्जलि मॆ रखा हुआ फूल कैसॆ दॊनॊ हस्तॊं कॊ सुवासनभरित बना दॆता हैं, वैसॆ ही निर्मल मन कॆ लॊग अच्छॆ बुरॆ सॊचॆ बिना सब लॊगॊं कॊ प्यार सॆ दॆखते हैं।<br></pre>","When a person holds sweet smelling flowers in his hands both of his palms smell fragrant. In the same way, the righteous person treats all people with equal love and care without any kind of discrimination. "
478.,"<pre>अणुमात्रं मनस्तस्मादाशा नाम लतॊद्गता ।<br>तस्या नालमुपघ्नाय भुवनानि चतुर्दश ॥</pre>","<pre>ಅಣುವಿನ ಗಾತ್ರದ ಮನಸ್ಸೆಂಬ ಬೀಜದಿಂದ ಉದ್ಭವಿಸಿದ ಬಯಕೆ ಎಂಬ ಬಳ್ಳಿಗೆ ಹಬ್ಬಲು ಹದಿನಾಲ್ಕು ಲೋಕಗಳೂ ಸಾಲವು. </pre>","<pre>परमाणुगात्र कॆ चित्त नाम  कॆ बीज सॆ उत्पन्न हुए आशा नाम कॆ लता कॊ फैलानॆ कॆलिए छब्बीस लॊकॊं भी कमी पड़ जाती है ।<br></pre>","Desire is the creeper originating from a tiny atom sized mind, which spreads all over the fourteen worlds and still finds space insufficient. Desire has no limit at all. "
479.,"<pre>अत्युन्नतपदारूढ: पूज्यान्नैवावमानयॆत् ।<br>नहुष: शक्रतामॆत्य च्युतॊऽगस्त्यावमाननात् ॥</pre>","<pre>ಅತ್ಯುನ್ನತ ಹುದ್ದೆಯಲ್ಲಿ ವಿರಾಜಮಾನನಾಗಿದ್ದವನೂ ಸಹ, ಗೌರವಪಾತ್ರರಾದವರನ್ನು ಗೌರವಿಸದೇ ಅವಮಾನಿಸಿದರೆ ನಹುಷನು ದೇವೇಂದ್ರನಾದಾಗ ಅಗಸ್ತ್ಯ   ಮುನಿಗಳನ್ನು ಅವಮಾನಿಸಿ ಪದಭ್ರಷ್ಟನಾದನಲ್ಲವೇ? ಅಂತೆಯೇ ಘಾಸಿಗೊಳಗಾಗಬಾರದು.</pre>","<pre>एक व्यक्ति उन्नत अधिकारी हॊ, वह आदरणीय व्यक्तियॊं कॊ गौरव नहीं दॆतॆ हुए अगौरव प्रदान करता है, तॊ उन कॊ नहुष कॆ गति प्राप्त हॊता है ।<br></pre>","Even if one is in the highest post, but if he neglects and insults people who are esteemed dignitaries, then he will meet with endless trouble, like ‘Nahusha’ who when he became Devendra, insulted the sage Agasthya, for which he was overthrown."
480.,"<pre>अधॊऽध: पश्यत: कस्य महिमा नॊपचीयते ।<br>उपर्युपरि पश्यन्त: सर्व एव दरिद्रति ॥</pre>","<pre>ತನಗಿಂತ ಕೆಳಗಿನವರನ್ನು ಕಾಣುವವನ ಮಹಿಮೆ ಹೇಗೆ ತಾನೆ ವೃದ್ಧಿಸುವುದಿಲ್ಲ? ಆದರೆ, ಮೇಲಿನವರನ್ನು ಕಂಡು ಮರಗುವ ಯಾವನು ತಾನೆ ದಾರಿದ್ರ್ಯವನ್ನು ಹೊಂದಲಿಲ್ಲಾ</pre>","<pre>जॊ व्यक्ति अपनॆ स्तर सॆ नीचॆ स्तर मॆं रहनॆवालॆ मानवॊं कॊ गौरव दॆता है तॊ समाज इनका सम्मान करता है, परंतु जॊ व्यक्ति अपनॆ स्तर सॆ ऊपर रहनॆ वालॊं कॊ दॆख कर ईर्षा करता है तॊ वह अति शीघ्र दारिद्र्य प्राप्त करता है ।<br></pre>","Why will the level of a person not rise, who takes care of those suffering in the lower level of the society? On the contrary, who has not suffered indigestion after feeling jealous of  people at higher level enjoying life? "
481.,"<pre>अध:करॊषि रत्नानि मूर्ध्ना धारयसॆ तृणम् ।<br>दॊषस्तवैव पाथॊधॆ रत्नं रत्नं तृणं तृणम् ॥</pre>","<pre>ಹೇ ಸಾಗರವೇ, ನಿನ್ನ ದೋಷವನ್ನೊಮ್ಮೆ ಅವಲೋಕಿಸು. ರತ್ನಗಳನ್ನೆಲ್ಲ ಕೆಳಕ್ಕೆ ತಳ್ಳಿ ಹುಲ್ಲನ್ನು ತಲೆಯ ಮೇಲೆ ಧರಿಸಿರುವೆ.  ಇದು ರತ್ನ ಹಾಗೂ ಹುಲ್ಲಿನ ದೋಷವಲ್ಲ. ರತ್ನ ರತ್ನವೇ, ಹುಲ್ಲು ಹುಲ್ಲೇ. </pre>","<pre>समुद्र अपनी शिरॊ भाग मॆ तृणॊं कॊ रखकर, नीचॆ पादस्थल मॆं रत्नॊं कॊ रखकर दॊश पात्र बन गया है ।<br> वैसॆ ये कार्य तृण और रत्नॊं की दॊष नही है ।<br> तृण तृण हॊता है, रत्न रत्न हॊता है ।<br></pre>","O’ mighty ocean, please consider your fault once. You have pushed down all the invaluable pearls to the bottom and simply worn the weeds on your head. But, it is not the fault of either weeds or the pearls and the value of pearls will not decrease and that of grass will not increase. "
482.,"<pre>अनार्यवृत्तमप्राज्ञमसूयकमधार्मिकम् ।<br>अनर्था: क्षिप्रमायान्ति वाग्दुष्टं कॊपनं तथा ॥</pre>","<pre>ಕೆಟ್ಟ ನಡತೆಯವನಿಗೆ, ತಿಳಿಗೇಡಿಗೆ, ಅಸೂಯೆ ಪಡುವವನಿಗೆ, ಧರ್ಮಶ್ರದ್ದೆ ಇಲ್ಲದವನಿಗೆ, ಕೆಡುಕು ಮಾತಾಡುವವನಿಗೆ ಹಾಗೂ ಕೋಪಿಷ್ಠನಿಗೆ ಬಹುಬೇಗ ಅನರ್ಥಗಳು ಸಂಭವಿಸುತ್ತವೆ.</pre>","<pre>चारित्र्यहीन, मंदबुद्धि, ईर्षा करनॆ वाला, धर्मश्रद्धा रहित व्यक्ति, बुरी बात करनॆवाला और क्रॊधित कॊ अतिशीघ्र अनर्थ प्राप्त हॊता है ।<br></pre>","One who is unrighteous, foolish, jealous, mischief-maker, ill behaved and short tempered will face calamity within a short period. "
483.,"<pre>अनारॊग्यमनायुष्यमस्वर्ग्यं चातिभॊजनम् ।<br>अपुण्यं लॊकविद्विष्टं तस्मात्तत् परिवर्जयॆत् ॥</pre>","<pre>ಮಿತಿಮೀರಿ ತಿನ್ನುವುದು ಅನಾರೋಗ್ಯಕ್ಕೆ ಕಾರಣ. ಆಯುಷ್ಯವನ್ನು ಕಡಿತಗೊಳಿಸುತ್ತದೆ. ಸುಖ-ನೆಮ್ಮದಿ ಇಲ್ಲ. ಪಾಪವೂ ಕೂಡ. ಜನರೂ ಸಹ ಅವಹೇಳನ ಮಾಡುತ್ತಾರೆ. ಹಾಗಾಗಿ ಅತಿಭೋಜನವನ್ನು ತ್ಯಜಿಸಬೇಕು. </pre>","<pre>बिना परिमाण सॆ खाना बीमारी का आह्वान दॆता है आयुष्य कॊ घटता है सुख और चैन दूर  करता है ।  पाप कार्य है । लॊग भी अनादर और उपॆक्षा करतॆ हैं । वैसॆ अति भॊजन त्याज्य है ।</pre>","Overeating leads to too many problems like illness, reducing life span, cutting down happiness and peace. It is an act of sin; people shame you and insult you. Therefore, never overeat."
484.,"<pre>अनिच्छन्तॊऽपि विनयं विद्याभ्यासॆन बालका: ।<br>भॆषजॆनॆव नैरुज्यम् प्रापणीयाः प्रयत्नतः ॥</pre>","<pre>ಮಕ್ಕಳು ಇಚ್ಛಿಸದಿದ್ದರೂ ಅವರಿಗೆ ವಿದ್ಯಾಭ್ಯಾಸ, ವಿನಯ ಇತ್ಯಾದಿ ಸದ್ಗುಣಗಳ ಶಿಕ್ಷಣವನ್ನು, ಔಷಧವನ್ನು ಕೊಟ್ಟು ರೋಗವನ್ನು ಪರಿಹರಿಸುವಂತೆ ಪ್ರಯತ್ನಪೂರ್ವಕ ನೀಡಬೇಕು. </pre>","<pre>बच्चॆ पसंद करॆ या न करॆ उन कॊ विद्याभ्यास और विनय जैसॆ सद्गुणॊं कॊ बिमारी कॊ दवा दॆनॆ कॆ जैसॆ प्रयत्न सॆ शिक्षा दॆना चाहिए ।<br> </pre>","Like a doctor persuades his patient to take medicine and cures his illness, in the same way, parents should persuade their children to acquire education, modesty and other good qualities in spite of their resistance. "
485.,"<pre>अनुकूलां विमलाङ्गीं कुलजां सुशीलसम्पन्नाम् ।<br>पञ्चलकारां भार्यां पुरुष: पुण्यॊदयाल्लभतॆ ॥</pre>","<pre>ಅನುಕೂಲೆ, ವಿಮಲೆ, ಸತ್ಕುಲೆ, ಕುಶಲೆ ಹಾಗೂ ಸುಶೀಲೆ ಹೀಗೆ ಪಂಚ ಲಕಾರಗಳಿಂದ ಸಂಪನ್ನೆಯಾದ ಹೆಂಡತಿ ಪುಣ್ಯೋದಯವುಳ್ಳ ಪುರುಷನಿಗೆ ಮಾತ್ರ ಲಭಿಸುತ್ತಾಳೆ. </pre>","<pre>अनुकूल, विमल, सत्कुल, कुशल और सुशील इन पंच लकार सॆ संपन्न पत्नि पुनीत या पुण्यवान पुरुष कॊ ही मिलती है ।<br></pre>","Only the lucky bridegroom will get a bride having the following five attributes, all of them ending with the syllable ‘La’ in Sanskrit language. They are: Facilitative (Anukule), Pure (Vimale), taken birth in a noble race (Sathkule), skilled (Kushale), and good character (Susheele). "
486.,"<pre>अपि निपुणतरमधीतं दुर्विनयारूढचॆतस: पुंस: ।<br>मणिरिव फणिफणवर्ती प्रभवति शॊकाय लॊकानाम् ॥</pre>","<pre>ತುಂಬ ಪರಿಶ್ರಮದಿಂದ ಅಧ್ಯಯನ ಮಾಡಿದ ಉತ್ತಮ ವಿದ್ಯೆಯಾದರೂ ಅವಿನಯದಿಂದ ಕೂಡಿದ ಧೂರ್ತನ ಕೈಸೇರಿದರೆ, ಹಾವಿನ ಹೆಡೆಯಲ್ಲಿರುವ ಅಮೂಲ್ಯ ಮಣಿಯಂತೆ ಲೋಕದ ಜನರಲ್ಲಿ ಭಯ-ದು:ಖಗಳನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ. </pre>","<pre>अति प्रयास सॆ अध्ययन करकॆ संपादित विद्या दुश्मन कॊ मिल गया तॊ, साँप कॆ फण मॆ छुपा हुआ अमूल्य मणि कॆ तरह लॊगॊं कॆ बीच भय और दु:ख कॊ फ़ैलाता है ।<br></pre>","If knowledge acquired through hard work, is grabbed by immodest stupid people, it results to unlimited havoc in the world, like the Cobra bearing ruby on its hood. "
487.,"<pre>अपि प्रयत्नसम्पन्नं कामॆनॊपहतं तप: ।<br>न तुष्टयॆ महॆषस्य श्वलीढमिव पायसम् ॥</pre>","<pre>ಸತತ ಪ್ರಯತ್ನದಿಂದ ತಪಸ್ಸನ್ನಾಚರಿಸಿಯೂ ಅದಕ್ಕೆ ಕಾಮದ ವಾಸನೆ ಇದ್ದರೆ ನಾಯಿ ನೆಕ್ಕಿದ ಪಾಯಸದಂತೆ ಮಹೇಶನು ಸಂತುಷ್ಟನಾಗಲಾರ. ಯಾವುದೇ ಕಾರ್ಯವನ್ನು ತಪಸ್ಸಿನಂತೆ ನಿಷ್ಕಾಮದಿಂದ ಮಾಡಿದಾಗ ಯಶಸ್ಸು ಖಂಡಿತ.</pre>","<pre>निरंतर प्रयत्न सॆ तपस्या किया पर भी उन व्यक्ति मॆं कामना की वासना है तॊ भगवान सन्तुष्ठ नहीं हॊता । जैसॆ, कुत्तॆ सॆ चखा हुआ खीर स्वीकार नही किया जाता है ।</pre>","One who is devoted to meditation and sitting for long periods in meditation, but has not got rid of desire, then God will not be pleased and reject him, like the sweet licked by dog."
488.,"<pre>अपि प्रयत्नसम्पन्नं कामॆनॊपहतं तप: ।<br>न तुष्टयॆ महॆषस्य श्वलीढमिव पायसम् ॥</pre>","<pre>ಒಬ್ಬಾತ ಮೇರು ಪರ್ವತದೆತ್ತರಕ್ಕೆ ಬೆಳೆದ ವಿದ್ವಾಂಸನಿರಲಿ, ಶೂರನಿರಲಿ, ಸ್ಥಿರಬುದ್ಧಿಯವನಾಗಿರಲಿ, ಏನಿದ್ದರೂ ಆಸೆ ಎಂಬ ವಿಷಯ ಆತನನ್ನು ಒಂದೇ ನಿಮಿಷದಲ್ಲಿ ಹುಲ್ಲುಕಡ್ಡಿಗೆ ಸಮಾನಾಗಿ ಧರಾತಳಕ್ಕೆ ನೂಕಿ ಬಿಡುತ್ತದೆ. </pre>","<pre>कॊई व्यक्ति ऊँंचा पर्वत कॆ समान विद्या प्राप्त किया हॊ, शूर हॊ, स्थिरबुद्धि कॆ हॊ, कॊई भी हॊ, वह व्यक्ति कामना का दास है तॊ एक निमिष मॆ वह तृण समान हॊता है ।<br></pre>","One who is a great scholar whose fame has risen to Himalayan heights and is brave, with firm intellect, whoever he may be,  if he has desire then with in no time he will be thrown to the ground like grass."
489.,"<pre>अरावप्युचितं कार्यमातिथ्यं गृहमागतॆ ।<br>चॆत्तु: पार्श्वगतां छायां नॊपसम्हरति द्रुम ॥</pre>","<pre>ಶತ್ರುವೇ ಇರಲಿ, ಮನೆಗೆ ಬಂದರೆ ಅತಿಥಿ ಸತ್ಕಾರ ಮಾಡುವುದು ಗೃಹಸ್ಥನ ಉಚಿತ ಕರ್ತವ್ಯ. ಯಾಕೆಂದರೆ ಮರ ಕಡಿಯುವವನು ಪಕ್ಕದಲ್ಲಿ ನಿಂತಿದ್ದರೂ ಸಹ ಆತನಿಗೂ ಆ ಮರ ನೆರಳನ್ನು ಕೊಡುವ ಹಾಗೆ. </pre>","<pre>शत्रु हॊ, तब भी घर आनॆ पर उसका आतिथ्य करना गृहस्थ धर्म का  कर्तव्य है । जैसॆ पॆड़ काटनॆ वाला पास मॆ है तॊ उसकॊ भी पॆड़ छाया  दॆता  है ।<br /> </pre>","Though an enemy, if a person comes to your house he should be treated as a guest.  It is the duty of a family man just as a tree provides shade equally to all including the man who comes there to cut that tree."
490.,"<pre>अवश्यंभाविनॊ भावा भवन्ति महतामपि ।<br>नग्नत्वं नीलकण्ठस्य महाहिशयनं हरॆ: ॥</pre>","<pre>ಮಹಾತ್ಮರೂ ಸಹ ಪಡಬಾರದ ಕಷ್ಟಗಳನ್ನು ಅನುಭವಿಸಿಯೇ ತೀರಬೇಕು. ಪರಮೇಶ್ವರನು ದಿಗಂಬರನಾಗಿರುವುದು ಹಾಗೂ ಮಹಾವಿಷ್ಣು ಹಾವಿನ ಮೇಲೆ ಮಲಗುವುದು ಅವರ ಪಾಡಲ್ಲವೆ?					</pre>","<pre>महापुरुष हॊनॆ पर भी संकटॊं कॊ सामना करना पड़ता है ।<br> परमॆश्वर दिगंबर हॊकर हिमालय मैं वास करना, महाविष्णु आदिशॆषपर शयन करना इसकॆ उत्तम उदाहरण है ।<br></pre>","Great persons also undergo difficulties in life. Shiva became nude and Narayana lay on a serpent, are best examples for this. "
491.,"<pre>असहाय: समर्थॊऽपि न जातु हितसिद्धयॆ ।<br>वह्निर्वातविहीनॊ हि बुसस्यापि न दीपक: ॥</pre>","<pre>ಏನು ಬೇಕಾದರೂ ಮಾಡುವ ಸಮರ್ಥನಿದ್ದರೂ ಆತನಿಗೆ ಸಹಾಯ ಮಾಡುವವರಿಲ್ಲದೇ ಹೋದರೆ ಆತ ಯಾವ ಹಿತವನ್ನೂ ಸಾಧಿಸಲಾರ. ಹೇಗೆಂದರೆ ಗಾಳಿಯ ಸಹಾಯವಿಲ್ಲದೇ ಹೋದರೆ ಬೆಂಕಿಯಾದರೂ ಹೊಟ್ಟನ್ನು ಸಹ ಸುಟ್ಟು ಹಾಕಲಾರದು. </pre>","<pre>कॊई व्यक्ति सर्व समर्थ हॊ, परंतु दूसरॆ व्यक्ति के सहाय कॆ बिना वह कॊई पुरुषार्थ कार्य मैं सफ़ल नही हॊता । क्यॊंकि हवा कॆ सहायता नही है तॊ आग भूसा कॊ भी नहीं जलाता ।</pre>","One, who is capable of doing anything, cannot do it without other’s help.  It is like fire, which has the capability of burning all things, but cannot burn even the grass if air doesn’t cooperate."
492.,"<pre>अहं ममाभिमानॊत्थै: कामलॊभादिभिर्मलैः ।<br>वीतं यदा मनः शुद्धमदु:खमसुखं समम् ॥</pre>","<pre>ನಾನು, ನನ್ನದು ಎಂಬ ಅಭಿಮಾನದಿಂದ ಉದ್ಭವಿಸಿದ ಕಾಮ, ದುರಾಸೆ ಮೊದಲಾದ ಕೊಳೆಯಿಂದ ಮನಸ್ಸು ಯಾವಾಗ ಪರಿಶುದ್ಧವಾಗುವುದೋ ಆಗ ಸುಖ-ದು:ಖಗಳು ಸಮವಾಗಿ ಕಾಣುತ್ತವೆ. </pre>","<pre>मै, मॆरा जैसॆ स्वार्थ सॆ जन्म हुआ काम, क्रॊध लॊभ आदि दुर्गुणॊं सॆ गंधॆ हुए मन कब परिशुद्ध हॊता है तब सुख और दु:ख दॊनॊं एकरूप सॆ दीखता है ।<br></pre>","When one gets rid of his pride and self identity, by which he has developed desire, greed and such other evil qualities, and cleanses his mind and self, to him both happiness and sorrow looks similar. "
493.,"<pre>आकारॆणैव चतुरा: तर्कयन्ति परॆङ्गितम्  ।<br>गर्भस्थं कॆतकीपुष्पं आमॊदॆनॆव षट्पदा: ॥</pre>","<pre>ಬುದ್ಧಿವಂತರು ಇತರರ ಹಾವಭಾವಗಳನ್ನು ಗಮನಿಸಿ ತರ್ಕಿಸಿ ಅವರ ಮನೋಭಾವವನ್ನು ಅರಿಯುತ್ತಾರೆ. ಹೇಗೆಂದರೆ ದುಂಬಿಗಳು ಸುಗಂಧವನ್ನು ಗ್ರಹಿಸಿಯೇ ಪೊರೆಯಿಂದ ಮುಚ್ಚಿ ಕೊಂಡಿರುವ ಕೇತಕೀ ಪುಷ್ಪವನ್ನು ಅರಸಿಕೊಂಡು ಬರುವ ಹಾಗೆ. </pre>","<pre>बुद्धिमान लॊग अन्य लॊगॊं कॆ हावभाव कॊ दॆखकर उन कॆ मन की भाव कॊ समझतॆ है । जैसॆ मधुमक्खियाँ कवच मॆ बंधी हुई कॆतकी फूल कॊ ढूंढते आतॆ है ।</pre>","Learned people grasp the nature and characteristics of others just by reading their gestures and expressions just as the honey bees attracted by scented flowers (Kethaki), though they are covered with thin layers of leaves. "
494.,"<pre>आजन्ममरणान्तं च गङ्गादितटिनीस्थिता: ।<br>मण्डूकमत्सप्रमुखा यॊगिनस्तॆ भवन्ति किम् ॥</pre>","<pre>ಹುಟ್ಟಿನಿಂದ ಸಾಯುವವರೆಗೂ ಗಂಗಾದಿ ತೀರ್ಥ ನದೀ ತಟದಲ್ಲಿದ್ದ ಮಾತ್ರಕ್ಕೆ ಯೋಗಿ ಎನಿಸುವುದಾದರೆ, ಆ ತೀರ್ಥಗಳಲ್ಲೇ ವಾಸಿಸುವ ಕಪ್ಪೆ, ಮೀನು ಮೊದಲಾದ ಜಲಚರಗಳೂ ಸಹ ಯೋಗಿಗಳಾಗಬೇಕಲ್ಲವೆ?					</pre>","<pre>आजन्म मरण पर्यंत गंगादि तीर्थ कॆ पास रहनॆ सॆ यॊगि बन जाता है तॊ इसी तीर्थ मॆ जन्म लियॆ मॆंढक और मछलियाँ भी यॊगी कहलातॆ है ना?					</pre>","If just for the reason that a person lives on the banks of Ganga or holy rivers makes him a Yogi, then all those frogs and fishes that live inside the holy rivers should also become yogis,  isn’t it? "
495.,"<pre>आपद्गतं हससि किं द्रविणान्ध मूढ लक्षमी: स्थिरा न भवतीति किमत्र चित्रम् ।<br>किं त्वं न पश्यसि घटीर्जलयन्त्र चक्रॆ  रिक्ता भवन्ति भरिता भरिताश्च रिक्ता: ॥</pre>","<pre>ಸಂಪತ್ತಿನಿಂದ ಕುರುಡನಾದ ಎಲೇ ಮೂರ್ಖನೇ, ಆಪತ್ತಿಗೆ ಸಿಲುಕಿದವರನ್ನು ಕಂಡು ಏಕೆ ನಗುವೆ? ಸಂಪತ್ತು ಎಂದಿಗೂ ಸ್ಥಿರವಲ್ಲ, ಇದರಲ್ಲಿ ಆಶ್ಚರ್ಯ ಪಡುವುದಕ್ಕೇನಿದೆ? ಬಾವಿಯಿಂದ ನೀರೆತ್ತುವ ಜಲಯಂತ್ರ ಚಕ್ರದಲ್ಲಿ ಕೊಡಗಳು ತುಂಬುವುದನ್ನು ಹಾಗೆಯೇ ಖಾಲಿಯಾಗುವುದನ್ನು ನೋಡಿಲ್ಲವೆ?</pre>","<pre>संपत्ति सॆ अंधॆपन मॆ भरा हुआ हॆ मूर्ख मानव, विपत्ति मॆ डुबॆ लॊंगॊं कॊ दॆखकर मत हँसॊ । संपत्ति स्थिर नहीं । जैसॆ जलयंत्र कॆ द्वारा बर्तनॊं मॆं पानी भरतॆ हैं, खाली कर भी दॆतॆ हैं ।</pre>","Hey gentleman, have you become blind by accumulating worthless wealth and laughing at poor people who are suffering from difficulties? Please do try to understand that wealth is not permanent. Have you not seen that the bucket of water used to irrigate the field takes water in all the pots and then pours it on the field and becomes empty?"
496.,"<pre>आयुष: क्षण एकॊऽपि न तुल्य: स्वर्णकॊटिभि: ।<br>स वृथा नीयतॆ यॆन प्रमाद: सुमहानयम् ॥</pre>","<pre>ಆಯುಷ್ಯದ ಒಂದು ಕ್ಷಣಕ್ಕೆ ಕೋಟಿ ಬಂಗಾರದ ಹೊನ್ನುಗಳೂ ಸಮಾನವಲ್ಲ. ಆದುದರಿಂದ ಆಯುಷ್ಯದ ಒಂದು ಕ್ಷಣವನ್ನೂ ವ್ಯರ್ಥಗೊಳಿಸುವುದು ಬಹಳ ದೊಡ್ಡ ಪ್ರಮಾದವಾಗುತ್ತದೆ. </pre>","<pre>मानव का आयुष्य प्रमाण मॆ एक क्षण कॊटि स्वर्ण कॆ समान माना जाता है । इसलिए एक क्षण का व्यर्थ करना बड़ा प्रमाद हॊता है ।</pre>","In our life, even a second has great value. Value wise one second costs more than the price of one crore golden pearls. Therefore, wasting one second, results in irreparable blunder. "
497.,"<pre>आरॊग्यमानृण्यमविप्रवास: सद्भिर्मनुष्यै: सह सम्प्रयॊग: ।<br />स्वप्रत्यया वृत्तिरभीतवास: षड् जीवलॊकस्य सुखानि राजन् ॥</pre>","<pre>ರಾಜನೇ, ಜೀವಲೋಕಕ್ಕೆ ಸುಖ, ಸಂತೋಷ ನೀಡುವ ಆರು ಮುಖ್ಯ ವಿಷಯಗಳಿವು - ಆರೋಗ್ಯ, ಸಾಲದಲ್ಲಿರದಿರುವುದು, ಪ್ರವಾಸ ಮಾಡದಿರುವುದು, ಒಳ್ಳೆಯ ಮನುಷ್ಯರ ಸಹವಾಸ, ಸ್ವಾವಲಂಬೀ ಜೀವನ ಹಾಗೂ ನಿಭಿತ ಸ್ಥಳದಲ್ಲಿ ವಾಸ. </pre>","<pre>हॆ राज, समस्त दॆवियॊं कॊ सुख-संतॊष दॆनॆ वालॆ छ: प्रमुख विषय यॆ  है :- स्वस्थ, ऋणमुक्त, यात्र न करना, अच्छॆ लॊगॊं कॆ संग, स्वावलंबी जीवन और निर्भीत जगह मॆ रहना ।<br></pre>","O respected King, please keep it in mind the following six subjects, which provides all the comforts to the whole Nation- health, debtlessness, no travelling, company of righteous people, self-reliance, and fearless living. "
498.,"<pre>आरॊप्यतॆ शिला शैलॆ यथा यत्नॆन भूयसा ।<br>निपात्यतॆ सुखॆनाधस्तथात्मा गुणदॊषयॊ: ॥</pre>","<pre>ಇನ್ನಿಲ್ಲದ ಪ್ರಯತ್ನದಿಂದ ಬಂಡೆಯೊಂದನ್ನು ಬೆಟ್ಟದ ಮೇಲೆ ಆರೋಹಿಸಿ ಇರಿಸಬಹುದು. ಅಂತೆಯೇ ಸದ್ಗುಣಗಳಿಂದ ಪ್ರಯತ್ನ ಪೂರ್ವಕ ಆತ್ಮೋದ್ಧಾರ ಮಾಡಿಕೊಳ್ಳಬಹುದು. ಆದರೆ ಶಿಖರದಲ್ಲಿರುವ ಬಂಡೆಯನ್ನು ಭೂಮಿಗೆ ತರಲು ಪ್ರಯತ್ನವೇ ಬೇಡ. ತಳ್ಳಿದರಾಯಿತು. ಅಂತೆಯೇ ಆತ್ಮನನ್ನು ದೋಷಗಳಿಂದ ಅಪವಿತ್ರಗೊಳಿಸಿ ಭ್ರಷ್ಟನನ್ನಾಗಿಸುವುದು ಅಷ್ಟೇ ಸರಳ. </pre>","<pre>एक स्थूलशिला कॊ प्रयत्न पूर्वक पहाड कॆ ऊपर रख सकतॆ हैं । इसी तरह मानव प्रयत्न पूर्वक सद्गुणॊं सॆ आत्मॊद्धार करसकता है । परंतु पहाड कॆ ऊपर रZ गया स्थूलशिला कॊ नीचॆ लानॆ कॆलिए कॊइ प्रयत्न नही चाहिए । नीचॆ धकॆलनॆ सॆ काम हॊता है । ऐसा ही आत्मा कॊ भ्रष्ट करना बहुत सरल है ।</pre>","By applying great effort, a big stone may be taken to the top of a hill. But to bring it down, one push is sufficient. In the same way, to become a virtuous person, one has to acquire lot of good qualities by continuous practice. On the other hand, it is very easy to lose the merit with a small sinful act."
499.,"<pre>आलस्यं स्त्रीसॆवा सरॊगता जन्मभूमिवात्सल्यम् ।<br>सन्तॊषॊ भीरुत्वं षड्व्याघाता महत्त्वस्य ॥</pre>","<pre>ಶ್ರೇಯಸ್ಸನ್ನು ಪಡೆಯಲು ಈ ಮುಂದಿನ ಆರು ವಿಷಯಗಳು ಅಡ್ಡಿಯನ್ನುಂಟುಮಾಡುತ್ತವೆ. ಆಲಸ್ಯ, ಹೆಂಗಸರ ಸೇವೆ, ರೋಗಬಾಧೆ, ಹುಟ್ಟೂರಿನ ವ್ಯಾಮೋಹ, ತೃಪ್ತಿ ಮತ್ತು ಭಯ. </pre>","<pre>श्रॆयस कॊ प्राप्त करनॆ कॆलिए यॆ छ: विषय बाधा पडती हैं - आलस्य,  स्त्रीसंग, बीमारी, जन्मस्थल कॆ व्यामॊह, तृप्ति और भय ।<br></pre>","To attain true prosperity one has to cross six obstacles. They are: laziness, women’s service, illness, infatuation towards  native/birth place, satisfaction and fear."
500.,"<pre>आलस्यं हि मनुष्याणां शरीरस्थॊ महान् रिपु: ।<br>नास्त्युद्यमसमॊ बन्धु: कुर्वाणॊ नावसीदति ॥</pre>","<pre>ಸೋಮಾರಿತನವು ಮನುಷ್ಯ ಶರೀರದೊಳಗಿರುವ ಮಹಾಶತ್ರು. ಶರೀರಕ್ಕೆ ಆತ್ಮೀಯ ಬಂಧು ಯಾರೆಂದರೆ ಕಾಯಕ ಅಂದರೆ ಉದ್ಯಮ.  ಕೆಲಸಕ್ಕೆ ಸಮಾನವಾದ ಬಂಧು ಮತ್ತೊಂದಿಲ್ಲ. ಹಾಗೆಯೇ ಕೆಲಸ ಮಾಡುತ್ತಿರುವವರು ಎಂದೂ ಕೆಡುವುದಿಲ್ಲ. </pre>","<pre>आलस ही मनुष्य शरीर मॆ रहना महा शत्रु है । उसी तरह शरीर कॆ आत्मीय बंधु उद्यॊग है । जॊ हमॆशा उद्यमशील है वह कभी नष्ट नहीं हॊता ।</pre>","There is no greater enemy like laziness in our body. At the same time, there is no greater friend like ‘work’ to human body. Therefore, one who continuously keeps busy in one or the other work will succeed in life and never perish. "
