samhita-adhyaya,"Slokas (Verses)",dummy1,dummy2
022-03,"<p>28. Seeing me as well as Dakṣa, Marici and others in such a situation and seeing Sandhyā engaged in her affairs, Madana continued to concentrate his attention on his activity.</p>",,
022-03,"<p>29. &ldquo;The work entrusted to me by Brahmā can easily be performed by me&rdquo; so thought Kāma justifiably.</p>",,
022-03,"<p>30. On seeing the sinful proclivities of his brothers and father, Dharma remembered Lord Śiva, the lord protector of virtue.</p>",,
022-03,"<p>31. Mentally meditating on Śiva, the protector of virtue, Dharma, the son of Brahmā eulogised Śiva with different prayers in his state of sorrow.</p>",,
022-03,"<h2><em>Dharma said</em>:&mdash;</h2>",,
022-03,"<p>32. O Mahādeva, lord of Devas, protector of virtues, obeisance be to Thee. O Śiva, Thou alone art the author of creation, sustenance and dissolution.</p>",,
022-03,"<p>33. By virtue of three Guṇas, Rajas, Sattva and Tamas, Thou assumest the form of Brahmā at the time of creation, that of Viṣṇu at the time of sustenance and that of Rudra at the time of dissolution. Yet, O lord, Thou art devoid of attributes.</p>",,
022-03,"<p>34. Thou art Śiva free from the influence of the three Guṇas, the fourth Being. Thou art beyond Prakṛti. Thou art expert in various divine sports, yet without attributes and free from deformities and decays.</p>",,
022-03,"<p>35. Great Lord! save me from this impassable ocean of sin. My father and my brothers are now sinfully inclined towards me.</p>",,
022-03,"<h2><em>Brahmā said</em>:&mdash;</h2>",,
022-03,"<p>36. Thus eulogised by Dharma, the great lord, selfborn Śiva came there immediately in order to protect Dharma.</p>",,
022-03,"<p>37. Stationed in the ether, Śiva saw me, Brahman, Dakṣa and others in such a mental state and so laughed mockingly.</p>",,
022-03,"<p>38. O best of sages, in the midst of his intermittent laughter making all blush with shame, the full-emblemed deity spoke these consoling words.</p>",,
022-03,"<h2><em>Śiva said</em>:&mdash;</h2>",,
022-03,"<p>39. Alas! O Brahmā, how is it that you were overwhelmed with lustful feelings on seeing your own daughter? This is highly improper for those who walk on the line of the Vedas.</p>",,
022-03,"<p>40. Sister, brother&rsquo;s wife and daughter are like one&rsquo;s mother. A sensible man shall never look at them with a reprehensible vision.</p>",,
022-03,"<p>41. The conclusion of the path of the Vedas is present in your mouth. O Brahmā, how is it that you forgot that under the influence of momentary passion?</p>",,
022-03,"<p>42. O, four-faced deity Brahmā, your mind shall always remain alert in fortitude. How did you undo it for the sake of dalliance in love?</p>",,
022-03,"<p>43. How is it that your mental sons, Dakṣa, Marīci and others who practise yoga in isolation and see the inner light for ever have become enamoured of woman?</p>",,
022-03,"<p>44. This Kāma is a fool, deficient in sense and ignorant of proper occasion. How is it that he has begun to torment them with excessive power?</p>",,
022-03,"<p>45. Fie upon the learning of that person whose wife draws his mind inordinately from steadiness and courage and immerses it in fickle revelries.</p>",,
022-03,"<h2><em>Brahmā said</em>:&mdash;</h2>",,
022-03,"<p>46. On hearing these words of Śiva, I, the lord of the world, perspired profusely in an instant, on account of shame.</p>",,
022-03,"<p>47. Although the desire to seize Sandhyā of wishful features still lingered, O sage, I curbed the upset senses, fearing him (Śiva).</p>",,
022-03,"<p>48-49. O excellent brahmin, from the drops of sweat that fell from my body rose the manes who did not perform the sacrifices while they were living on earth, who shone like split collyrium, had eyes resembling the full-bown lotus, were meritorious ascetics and were averse to worldly activities.</p>",,
022-03,"<p>50. These were sixty-four thousand in number, O sage, and the manes called Barhiṣads, lit. seated on grass, were eighty-six thousand.</p>",,
022-03,"<p>51. From the drops of sweat that fell from Dakṣa&rsquo;s body, a splendid woman endowed with good qualities was born.</p>",,
022-03,"<p>52-53. She was of slender body with symmetrical hips. Her waist was well-shaped; small curly hairs embellished it. She was soft in body with fine teeth. She had a shining golden complexion. In her body, she was perfect. Her face shone like the full moon and full-blown lotus. Her name was Rati. She was capable of captivating even the sages.</p>",,
022-03,"<p>54. Excepting Kratu, Vasiṣṭha, Pulastya and Aṅgiras, the six viz. Marīci and others successfully curbed their senses and their activities.</p>",,
022-03,"<p>55. O excellent sage, the semen virile of the four&mdash;Kratu and others&mdash;fell on the ground from which other types of manes were born.</p>",,
022-03,"<p>56. They were Somapās, Ājyapās, Kālins and Haviṣmantas. They are all termed Kavyavāhas also. They are their sons.</p>",,
022-03,"<p>57. The Somapās are the sons of Kratu, Kālins of Vasiṣṭha, Ājyapās of Pulastya and Haviṣmantas of Aṅgiras.</p>",,
022-03,"<p>58. O excellent brahmin, when the manes Agniṣvāttas and others were born, they were assigned the task of Kavyavāhas (taking the oblations and offering) among the manes.</p>",,
022-03,"<p>59. Sandhyā who thus became the mother of the Pitṛs served the same purpose as theirs. Since she has been glanced at kindly by Śiva she became free from defects and devoted herself to virtuous rites.</p>",,
022-03,"<p>60. In the meantime after blessing all the brahmins and protecting virtue duly Śiva vanished suddenly.</p>",,
022-03,"<p>61. I, the grandfather of the world, snubbed and put to shame by Śiva&rsquo;s words, turned my anger against Kāma with a frowning face and knit eyebrows.</p>",,
022-03,"<p>62. O sage, seeing my face and realising my hint, Kāma withdrew his arrows. He was so terribly afraid of Siva.</p>",,
022-03,"<p>63. O sage, then I, the lotus-born, became very furious like the strong blazing fire seeking to consume everything.</p>",,
022-03,"<p>64-65. I, Brahmā, then said:&mdash;&ldquo;After playing this same trick on Śiva, Kāma will be consumed in the fire of Śiva&rsquo;s eye and freed of his arrogance.&rdquo; O excellent brahmin, it was in the presence of the manes and the sages of perfect control that I spoke to Kāma in this way.</p>",,
022-03,"<p>66. On hearing this curse of terrible nature, Rati&rsquo;s husband was frightened. He abandoned his arrows and became visible.</p>",,
022-03,"<p>67. O sage, he spoke to me (i.e. Brahmā) and my sons Dakṣa and others even as the Pitṛs and Sandhyā stood there listening. By this time his arrogance had disappeared.</p>",,
022-03,"<p>68. Kāma said:&mdash;&ldquo;O Brahmā, why have I been so terribly cursed by you? O lord of worlds, I have not committed any sin against you who are reputed to follow justiciable path.</p>",,
022-03,"<p>69. O Brahmā, you have assigned me my task. I have only carried it out. Hence this curse is not proper. I have not done anything else.</p>",,
022-03,"<p>70. You had said:&mdash;&ldquo;All of us, I, Viṣṇu and Śiva are targets of your arrows.&rdquo; I only tested your statement.</p>",,
022-03,"<p>71. I am not guilty in this respect. O Brahmā I being innocent, this conditional curse, O lord of universe, is very terrible.</p>",,
022-03,"<p>72. On hearing his words, I, Brahmā, the lord of the universe, replied to Madana who had controlled himself, trying to suppress him further.</p>",,
022-03,"<h2><em>Brahmā said</em>:&mdash;</h2>",,
022-03,"<p>73. I cursed you because you have aimed at us&mdash;this Sandhyā who is my daughter and me her father.</p>",,
022-03,"<p>74. But now I am free from anger. In this state I tell you O Kāma, do not be under any suspicion. Listen. Cast off your fear. Be happy.</p>",,
022-03,"<p>75. O Kāma, he will reduce you to ashes in the fire of his eye. But he will give you another similar body afterwards.</p>",,
022-03,"<p>76. When Śiva takes to a wife He Himself will get you another body.</p>",,
022-03,"<p>77. After speaking thus to Kāma, I the grandfather of the world, vanished from there even as the sages, my mental sons, were watching.</p>",,
022-03,"<p>78. On hearing these words of mine, Kāma and the mental sons of mine became happy and returned quickly to their abodes.</p>",,
022-04,"<h1>Chapter 4 - Kāma&rsquo;s marriage</h1>",,
022-04,"<h2><em>Nārada said</em>:&mdash;</h2>",,
022-04,"<p>1. O lord Brahmā, O Viṣṇu&rsquo;s disciple of great intellect, O creator of the world, you have narrated a wonderful story consisting of the nector of Śiva&rsquo;s divine sports.</p>",,
022-04,"<p>2. O dear one, what happened thereafter, please tell me now. I am all attention to a narrative based on Śiva&rsquo;s life.</p>",,
022-04,"<h2><em>Brahmā said</em>:&mdash;</h2>",,
022-04,"<p>3. When Śiva had gone back to His place and I, Brahmā had vanished from the scene, Dakṣa remembered my words and spoke to Kāma.</p>",,
022-04,"<h2><em>Dakṣa said</em>:&mdash;</h2>",,
022-04,"<p>4. &ldquo;O Kāma, this girl is born of my body. She is endowed with beauty and good qualities. She fits you admirably. Take her as your wife.</p>",,
022-04,"<p>5. This powerful girl shall ever be under your righteous control and shall be your constant companion as long as you wish.&rdquo;</p>",,
022-04,"<h2><em>Brahmā said</em>:&mdash;</h2>",,
022-04,"<p>6. Saying so, he presented to him the girl born of his sweat after naming her Rati.</p>",,
022-04,"<p>7. O Nārada, after marrying the beautiful daughter of Dakṣa who could enchant even sages, Kāma rejoiced much.</p>",,
022-04,"<p>8. On seeing his auspicious wife, Rati, Kāma was pierced by his own arrows and was overpowered by the pleasure of dalliance.</p>",,
022-04,"<p>9. His wife of fair complexion, tremulous side-glances and fawn-eyes, admirably suited to his love of pleasure offered him ample sports.</p>",,
022-04,"<p>10. On seeing her eyebrows the doubt arose in the mind of Kāma.&mdash;&ldquo;These two have been fitted to her to excel my bow, by Brahmā who wants to undo it!&rdquo;</p>",,
022-04,"<p>11. O best of Brahmins, On seeing her rapid-roving glances he did not retain his faith in his arrows in the matter of swift action.</p>",,
022-04,"<p>12. Inhaling the naturally sweet fragrance of her steady breath Kāma abandoned his faith in the Malaya breeze.</p>",,
022-04,"<p>13. Seeing her face resembling the full moon with all characteristic marks, Kāma was unable to find any difference between her face and the moon.</p>",,
022-04,"<p>14. Her pair of breasts resembled the buds of golden lotus with nipples shining like bees hovering round them.</p>",,
022-04,"<p>15-16. Certainly Kāma had set aside and forgotten the string of his flowery bow with tumultuous buzzing hums of bees because his eyes were riveted to the auspicious necklace with eyelets of peacock&rsquo;s tail suspended over her firm protruding plump breasts down to her umbilical part.</p>",,
022-04,"<p>17. His eyes covering the skin with their glances around her deep navel shone like red plums.</p>",,
022-04,"<p>18. That lovely woman of slender waist with a natural golden complexion appeared like a golden platform to Kāma.</p>",,
022-04,"<p>19. Kāma looked at her thighs lovely like the stump of a plantain as though they were his javelin.</p>",,
022-04,"<p>20. The heels, the tips and the sides of her feet were reddish in tinge. With them she looked as the comrade of the Cupid.</p>",,
022-04,"<p>21. Her red hands with nails like Kiṃśuka flowers and with well-rounded tapering fingers were very beautiful.</p>",,
022-04,"<p>22. Her arms were fine like the lotus-stalk. They were glossy and soft. They resembled corals putting forth beams of splendour.</p>",,
022-04,"<p>23. Her glossy hair resembled the blue cloud and the fluffy tail of the Camarī dear. Thus shone the wife of Kāma.</p>",,
022-04,"<p>24-27. Just as Lord Śiva accepted Gaṅgā oozing from the snowy mountain, Kāma married her. She carried a discus and a lotus in her hand. She had arms fine as the lotus-stalk. She had wavelets of her eyebows. Her side-glances rose up and down like gentle tides. She had eyes resembling a blue lotus. The curly locks of hair on her body were like the mossy growth in the river. She shone with her mind expanded like the tree. Her deep navel resembled the deep eddy. Thus shone Rati with her beautiful body. In fact she appeared to be the abode of beauty itself like Ramā (Goddess Lakṣmī).</p>",,
022-04,"<p>28. She had twelve varieties of ornaments. She was an expert in the sixteen types of amorous gestures. She was capable of charming the whole world. She illuminated all the ten quarters.</p>",,
022-04,"<p>29. Seeing Rati like this, Kāma eagerly accepted her just as Viṣṇu accepted Lakṣmī who approached him with love.</p>",,
022-04,"<p>30. In his height of joy, the deluded Kāma forgot the terrible curse of Brahmā and so he had no occasion to mention about it to Dakṣa.</p>",,
022-04,"<p>31. Great festivities heightening the pleasure of everyone ensued, O dear one. My son Dakṣa was more delighted than everyone else. He rejoiced.</p>",,
022-04,"<p>32-34. Having reached the acme of happiness Kāma thought all miseries were at an end. Dakṣa&rsquo;s daughter Rati was highly delighted on getting Kāma as her husband. The sweet-voiced Kāma rejoiced with her like the cloud at sunset mingled with sparkling lightning. Thus Kāma took Rati to his chest in his happy delusion like the Yogin his knowledge. Having secured a fine husband, Rati with face shining like the full moon shone like Lakṣmi having secured Hari.</p>",,
022-05,"<h1>Chapter 5 - The story of Sandhyā</h1>",,
022-05,"<p>1. On hearing these words of Brahmā, the excellent sage remembered Śiva with a delighted heart and spoke joyfully.</p>",,
022-05,"<h2><em>Nārada said</em>:&mdash;</h2>",,
022-05,"<p>2. O Brahmā, the fortunate disciple of Viṣṇu, O intelligent one, you have narrated the wonderful divine sports of the moon-crested lord.</p>",,
022-05,"<p>3-4. After Kāma had married and gone to his residence when all of you, i.e. you the creator, Dakṣa and the mental sons, had all gone to your respective abodes, where did Sandhyā, the daughter of Brahmā and the mother of the Pitṛs go?</p>",,
022-05,"<p>5. What did she do? Who married her? Please tell me all about it and particularly the account related to Sandhyā.</p>",,
022-05,"<h2><em>Sūta said</em>:&mdash;</h2>",,
022-05,"<p>6. On hearing these words of his intelligent son, Brahmā, who knew the real situation, remembered Śiva and said:&mdash;</p>",,
022-05,"<h2><em>Brahmā said</em>:&mdash;</h2>",,
022-05,"<p>7. O sage, listen to the auspicious story of Sandhyā, on hearing which ladies do always become chaste.</p>",,
022-05,"<p>8. That Sandhyā was my daughter mentally created by me formerly. She performed a penance, cast off her body and was reborn as Arundhatī.</p>",,
022-05,"<p>9-10. She was born as the intelligent daughter of the excellent sage Medhātithi, performed sacred rites at the bidding of Brahmā, Viṣṇu and Śiva and chose as her husband the noble-souled Vasiṣṭha of praiseworthy rites. She of auspicious countenance became the foremost of chaste ladies and deserved honour and respect from everyone,</p>",,
022-05,"<p>11. How did she perform penance? Why and where? How did she cast off her body and become the daughter of Medhātithi?</p>",,
022-05,"<p>12. What did the deities Brahmā, Viṣṇu and Śiva command her to do? and how did she choose the noble-souled Vasiṣṭha of praiseworthy rites as her husband?</p>",,
022-05,"<p>13. I am eager to hear all these things. O Grand Father, tell me in detail the story of Sandhyā precisely.</p>",,
022-05,"<h2><em>Brahmā said</em>:&mdash;</h2>",,
022-05,"<p>14. Formerly on seeing Sandhyā, my daughter, I cherished a love for her, which, being afraid of Śiva, I forsook.</p>",,
022-05,"<p>15. Sandhyā&rsquo;s mind too was shaken on being stirred by Kāma&rsquo;s arrows. The same had happened with the mind of the noble-souled sages who had so far curbed their minds.</p>",,
022-05,"<p>16-17. She had heard the words of Śiva to me couched in mocking terms. She had realised that her mental aberration in regard to the sages was beyond decency. She had seen the attitude of Kāma culminating in the delusion of the sages, frequently. Hence Sandhyā was excessively distressed with respect to her marriage.</p>",,
022-05,"<p>18-19. O sage, then I cursed Kāma. Śiva left the place and I too disappeared. Thus her support was lost. So, O excellent sage, Sandhyā became furious. Then, my daughter considered all these things and meditated.</p>",,
022-05,"<p>20. Meditating on the recent events, she of great fortitude mused what befitted the situation.</p>",,
022-05,"<h2><em>Sandhyā said</em>:&mdash;</h2>",,
022-05,"<p>21. Seeing me as a lady in the prime of my youth even at my nativity, my father, prompted by Kāma, cherished a lustful desire for me.</p>",,
022-05,"<p>22. The minds of the sages, the mental sons, reputed to be pure in mind, on seeing me became lustful breaking the conventions.</p>",,
022-05,"<p>23. My mind too was excessively stirred up by the wicked Kāma, as a result of which, on seeing those sages it too became excessively shaken.</p>",,
022-05,"<p>24. Of course Kāma reaped the fruits of his sinful misdeeds, for Brahmā became angry and cursed him in the presence of Śiva.</p>",,
022-05,"<p>25. I too shall have to reap the fruits of my sin. I have committed a great sin. I wish to have a means for making amends.</p>",,
022-05,"<p>26. Directly perceiving that I too had lustful feelings, the brothers and my father had a similar desire. Hence I am the worst sinner.</p>",,
022-05,"<p>27. I too had the unconventional lustful feelings on seeing them, towards my own father and brothers as towards a husband.</p>",,
022-05,"<p>28. I shall perform expiatory rites myself for my sin. Following the Vedic injunctions I shall consign myself to the fire.</p>",,
022-05,"<p>29. But I shall set up the new limits in the world. No person shall be so lustful at the time of birth.</p>",,
022-05,"<p>30. For this purpose I shall perform a severe penance. Then I shall establish the new limits and afterwards I shall abandon this life.</p>",,
022-05,"<p>31. No purpose will be served with this body for which love was cherished by my father and brothers.</p>",,
022-05,"<p>32. This body cannot be the means for achieving merit, for, it was through this body that lustful feelings were generated in my father and brothers.</p>",,
022-05,"<p>33. Thinking thus in her mind, Sandhyā went to the mountain Candrabhāga from which the river Candrabhāgā flows.</p>",,
022-05,"<p>34-35. On coming to know that she had gone to the mountain, I, Brahmā, told my son Vasiṣṭha, the omniscient, of purified mind due to penance, who had acquired spiritual knowledge who was seated near me and who had mastered the Vedas and the Vedāṅgas.</p>",,
022-05,"<p>36. &ldquo;O son Vasiṣṭha, approach Sandhyā, my daughter of great fortitude. She is desirous of performing a penance. Initiate her duly in the procedure of that.</p>",,
022-05,"<p>37. O great sage, formerly seeing you all and me as her lovers and realising her own lustful feelings she had blushed.</p>",,
022-05,"<p>38. Though not expressed and though not personified, your action then is considered by her as her first death. Now she wishes to put an end to her life.</p>",,
022-05,"<p>39. Among those who observe limits and conventions she wants to lay down a limitation. The chaste lady has gone to the mountain Candrabhāga for performing the penance.</p>",,
022-05,"<p>40. She does not know the procedure of performing a penance. O dear, see that she realises her desire by means of your instructions.</p>",,
022-05,"<p>41. O sage, abandon this form of yours. Disguise yourself and approach her to demonstrate the mode of penance.</p>",,
022-05,"<p>42. You shall assume another form lest she should be embarrassed as before on seeing your natural form and features&rdquo;.</p>",,
022-05,"<p>43. O Nārada, Vasiṣṭha was thus ordered by me out of pity. The sage too told me &ldquo;so be it&rdquo; and approached Sandhyā.</p>",,
022-05,"<p>44. Vasiṣṭha saw the celestial lake full of Gaṇas and resembling the Mānasa lake. He saw Sandhyā too on its bank.</p>",,
022-05,"<p>45. With her seated on its bank, the lake, full of splendid lotuses, appeared like the sky in the dusk with the moon rising and the stars twinkling.</p>",,
022-05,"<p>46. On seeing her there full of noble feelings, the sage eagerly looked at the lake called Bṛhallohita.</p>",,
022-05,"<p>47. From the ridges of that big mountain which appeared like a big fort wall, the river Candrabhāgā rose and flowed towards the Southern sea. The sage saw that too.</p>",,
022-05,"<p>48. That river breaks the western wing of the mountain Candrabhāga even as Gaṅgā of the mountain Himālaya and flows towards the sea.</p>",,
022-05,"<p>49. Seeing Sandhyā on the bank of the lake Bṛhallohita on that mountain Candrabhāga, Vasiṣṭha asked her respectfully.</p>",,
022-05,"<h2><em>Vasiṣṭha said</em>:&mdash;</h2>",,
022-05,"<p>50. &ldquo;O good lady, why have you come to this mountain devoid of men? Whose daughter are you? What is it that you intend to do?</p>",,
022-05,"<p>51. I wish to know this if it is not a secret. How is it that your face resembling the full moon is expressionless and inactive?&rdquo;</p>",,
022-05,"<p>52-53. On hearing the words of the noble-souled Vasiṣṭha and seeing him blazing like fire, shining like Brahmacarya (Celibacy) personified, Sandhyā bowed to the sage wearing matted hair and spoke to him respectfully.</p>",,
022-05,"<h2><em>Sandhyā said</em>:&mdash;</h2>",,
022-05,"<p>54. &ldquo;O fearless (sage), know that the purpose for which I came to this mountain has already been achieved or rather will be achieved by your very sight.</p>",,
022-05,"<p>55. O sage, I came to this mountain devoid of men to perform penance. I am the daughter of Brahmā and am known as Sandhyā.</p>",,
022-05,"<p>56. If it be proper and not inconvenient for you please instruct me. This is what I expect of you. There is nothing to be kept secret in this.</p>",,
022-05,"<p>57. Without knowing the procedure of penance I have come to this penance grove. Due to this worry I am perplexed and my heart trembles&rdquo;.</p>",,
022-05,"<p>58. On hearing her words, Vasiṣṭha, the most excellent among the knowers of Brahman, well-versed in every rite did not ask anything further.</p>",,
022-05,"<p>59. After remembering Śiva favourably disposed to the devotees he addressed the lady who had controlled herself and was preparing for the penance.</p>",,
022-05,"<p>60. He who is the supreme brilliance, He who is the greatest austerity, He who is the worthiest of worship&mdash;let that Śiva be meditated upon.</p>",,
022-05,"<p>61. Worship Him who is the most excellent of all Beings, the sole first cause of all the worlds and the principal cause of virtue, wealth, love and salvation.</p>",,
022-05,"<p>62. O lady, worship lord Śiva, the lord of all Devas with the following mantra. By that, certainly you will achieve everything.</p>",,
022-05,"<p>63. &ldquo;Oṃ Namaḥ Śaṃkarāya Oṃ&rdquo; &ldquo;Oṃ obeisance to Śiva Oṃ.&rdquo; With this mantra the penance is pervaded. The whole penance begins with silence. I shall explain it. Listen.</p>",,
022-05,"<p>64. The ceremonial bath shall be taken silently. The worship of Śiva shall be performed silently. The food taken in shall solely consist of water in the first and second Ṣaṣṭakālas (a period ⅙ of the day=4 hrs.)</p>",,
022-05,"<p>65. On the third Ṣaṣṭhakāla you shall observe complete fast [without even taking water]. This shall continue till the conclusion of the penance. The rites shall be performed at the end of each Ṣaṣṭhakāla.</p>",,
022-05,"<p>66. This is called the penance of silence. It yields all the benefits of celibate life. O lady, it confers all cherished desires. True, it is certainly true.</p>",,
022-05,"<p>67. Thinking thus in your mind, O lady, you meditate on Śiva. If He is pleased He will confer on you all you wish, ere long.</p>",,
022-05,"<p>68. Vasiṣṭha then sat and explained to Sandhyā the rites of the penance. The sage then vanished from the scene.</p>",,
022-06,"<h1>Chapter 6 - Sandhyā granted a boon by Śiva</h1>",,
022-06,"<h2><em>Brahmā said</em>:&mdash;</h2>",,
022-06,"<p>1. O best of my sons, O intelligent one, listen to the description of the great penance of Sandhyā on hearing which sins are quelled instantly.</p>",,
022-06,"<p>2. When Vasiṣṭha went back to his abode after instructing her in the rites of penance, Sandhyā was greatly pleased on learning the procedure of penance.</p>",,
022-06,"<p>3. On the bank of the lake Bṛhallohita she began to perform penance after she had put on the dress of a person of blissful mind.</p>",,
022-06,"<p>4. She worshipped Śiva with the mantra taught by Vasiṣṭha as the adjunct of penance in the manner explained by him.</p>",,
022-06,"<p>5. A period of four Yugas elapsed during which she continued her great penance with mind fixed and duly concentrated on Śiva.</p>",,
022-06,"<p>6. Propitiated by her penance Śiva was greatly delighted. He revealed Himself to her within and without as well as in the heaven.</p>",,
022-06,"<p>7. Śiva became visible to her in the form in which she was meditating upon him.</p>",,
022-06,"<p>8. She rejoiced much on seeing in front of her, the lord Śiva with face beaming with delight, in the same form as she was meditating on.</p>",,
022-06,"<p>9. &ldquo;What shall I say? How shall I eulogise?&rdquo; in this agitation she closed her eyes with fear.</p>",,
022-06,"<p>10. As she remained with eyes shut, Śiva entered her heart and blessed her with divine wisdom, divine speech and divine eyes.</p>",,
022-06,"<p>11. She thus acquired divine wisdom, divine eyes and divine speech. Directly pereciving the lord of Durgā she eulogised the lord of the worlds.</p>",,
022-06,"<h2><em>Sandhyā said</em>:&mdash;</h2>",,
022-06,"<p>12. That which has no specific form, that which can be known through perfect knowledge; that which is neither gross, nor subtle, nor high; that which is to be meditated upon by Yogins within themselves&mdash;obeisance be to Thee who art of this sort and the creator of the worlds.</p>",,
022-06,"<p>13. I bow to Thee, lord Śiva, whose form is like a road to heaven, beyond the path of darkness, and who art calm, pure, changeless incomprehensible through worldly knowledge, self-illuminated and unaltered.</p>",,
022-06,"<p>14. Obeisance to Thee whose form is solitary, pure, luminous, free from illusion, knowledge-cum-bliss, naturally undecaying, eternal bliss, delighted at the outcome of truth and prosperity and productive of glory.</p>",,
022-06,"<p>15. Obeisance to Thee whose form can be imagined in the nature of Vidyā (Perfect Knowledge), which is different from insentient things, Sāttvika in will, that which should be meditated on as the form of Ātman, which is the utmost essence and which is the holiest of all sanctifying objects.</p>",,
022-06,"<p>16. Obeisance to Thee, the Yogin whose Saguṇa form is pure, lovely, bedecked in jewels, as white and clean as camphor and which holds in its hand the desired boon, fearlessness, the trident and the scalp.</p>",,
022-06,"<p>17. Obeisance to Thee whose forms are the sky, the earth, the quarters, the waters, the fire and the Eternal time.</p>",,
022-06,"<p>18. Obeisance, obeisance to Śiva of unmanifest form from whom unmanifest primordial nature and Puruṣa issued forth as its effect.</p>",,
022-06,"<p>19. Obeisance, obeisance to Thee who createst this universe in the form of Brahmā, who sustainest it in the form of Viṣṇu and who destroyest it in the form of Rudra.</p>",,
022-06,"<p>20. Obeisance, obeisance to the cause of causes, to the bestower of divine nectar, wisdom and prosperity; to the best-ower of the prosperity of all other worlds, and the luminous greatest of the great.</p>",,
022-06,"<p>21. Obeisance to Thee, Śiva, beyond whose region no other world exists; from whose umbilical region arose the earth, the quarters, the sun, the moon, the cupid, the devas and the ether.</p>",,
022-06,"<p>22. Thou art, the greatest supreme soul. Thou art Śiva, the various lores, the pure Brahman, the supreme Brahman and the utmost object of deliberation.</p>",,
022-06,"<p>23. How can I adequately eulogise lord Śiva who is inexpressible by words, is incomprehensible to the mind, is the cause of the world and has no beginning, no middle, no end.</p>",,
022-06,"<p>24. How can he be described by me, whose forms even Brahmā and other Gods or sages of great austerity cannot describe.</p>",,
022-06,"<p>25. O lord, Thou art attributeless. How can Thy attributes be known to me, a mere woman? Even the Gods including Indra and Asuras do not know it.</p>",,
022-06,"<p>26. Obeisance to Thee, O Lord Śiva, obeisance to Thee, O personification of penance; O Śiva, lord of the Gods, be pleased, obeisance be to Thee again and again.</p>",,
022-06,"<h2><em>Brahmā said</em>:&mdash;</h2>",,
022-06,"<p>2 7. Being thus eulogised and having heard her words Śiva favourably disposed to the devotees became highly pleased.</p>",,
022-06,"<p>28-29. Her body originally clad in barks of trees and deer-hide had by this time been completely covered by clusters of matted hair hanging down from the head and her face appeared like a lotus threatened by frost. On seeing her Śiva melted with pity and said to her.</p>",,
022-06,"<h2><em>Śiva said</em>:&mdash;</h2>",,
022-06,"<p>30. O gentle lady, I am delighted by your great penance and this eulogy. O auspiciously intelligent woman, you can choose your boon.</p>",,
022-06,"<p>31. Whatever boon seems to be useful to you and is desired by you I shall grant it to you. I am delighted by your rites.&rdquo;</p>",,
022-06,"<h2><em>Brahmā said</em>:&mdash;</h2>",,
022-06,"<p>32. On hearing these words of Śiva who was delighted, Sandhyā was highly pleased and she said after repeated obeisance.</p>",,
022-06,"<h2><em>Sandhyā said</em>:&mdash;</h2>",,
022-06,"<p>33-34. O Lord Śiva, if I am to be favoured with the boon, if I am considered worthy of receiving a boon, if I am purified of that sin, if the lord is delighted with my penance, let the first boon chosen by me be granted.</p>",,
022-06,"<p>35. Let no living being, O lord of the Gods, born in this atmosphere be full of lust at the time of its nativity.</p>",,
022-06,"<p>36. This is another boon chosen by me that no other woman shall become so famous in the three worlds as I have become or shall become.</p>",,
022-06,"<p>37. No creation of mine shall become lustful or fall anywhere degraded. He who becomes my husband shall be my intimate friend of pure mind.</p>",,
022-06,"<p>38. Any person who looks at me with lustful eyes shall lose his manliness and become a eunuch.</p>",,
022-06,"<p>39. On hearing the words of that woman who had become freed of sin Śiva who is favourably disposed to His devotees and who was delighted at what she had said, spoke as follows.</p>",,
022-06,"<h2>[<em>Śiva said</em>:&mdash;]</h2>",,
022-06,"<p>40. O lady Sandhyā, listen. Your sin has been reduced to ashes. I have abandoned my anger towards you. By this penance you have become pure.</p>",,
022-06,"<p>41. O gentle lady Sandhyā, whatever you have asked I grant you entirely. I am delighted by this excellent penance of yours.</p>",,
022-06,"<p>42. (In all living beings) the first stage shall be infancy, the second childhood, the third youth and the fourth stage shall be old age.</p>",,
022-06,"<p>43. When the third stage in life is reached, the living beings shall become lustful. In some cases it shall be at the end of the second stage.</p>",,
022-06,"<p>44. This new limitation is imposed by me as a result of your penance. No living being shall be lustful at the time of its nativity.</p>",,
022-06,"<p>45. You will attain such a pure chastity as will not be attained by any other woman in the three worlds.</p>",,
022-06,"<p>46. Excepting your husband whoever looks at you with lustful eyes shall immediately become impotent and weak.</p>",,
022-06,"<p>47. Your husband shall be one endowed with great fortune, penance and comely features. He shall live for a period of seven Kalpas along with you.</p>",,
022-06,"<p>48. Thus I have granted you all the boons requested by you. I shall tell you another incident that transpired in the previous birth.</p>",,
022-06,"<p>49. That you would cast off your body in the fire has been foretold. I shall tell you the means thereof. You will certainly carry it out.</p>",,
022-06,"<p>50. Let that be performed by you at the twelve-year-sacrifice of the sage Medhātithi in the blazing sacrificial fire ere long.</p>",,
022-06,"<p>51. In the ridge of this mountain, on the banks of this river Candrabhāgā, Medhātithi is performing a great penance in his hermitage.</p>",,
022-06,"<p>52. You go there unobserved by the sages. Thanks to my favour, you will become his fire-born daughter.</p>",,
022-06,"<p>53. If you have chosen in your mind a desirable bridegroom as your husband, you shall think of him while you consign your body into the fire.</p>",,
