**Sloka**,Verse
2-13-6,"If I tell without obscuring the fact that I sent Rama to exile desirous of showingkindness to Kaikeyi, nobody will believe me."
2-13-7,"With much effort I, the childless begot the great and powerful Rama as my son. Howcan I abandon such Rama?"
2-13-8,"How can I send away Rama who is valiant and knowledgeable, who has subdued anger,who has forbearance and who has eyes like lotus-petals."
2-13-9,"How I can I send Rama, who is dark blue in colour like a blue lotus, who islong-armed , who is very strong and graceful, to Dandaka forest?"
2-13-10,"Rama is accustomed to comforts. He is not accustomed to difficulties. How can Iimagine such sensible Rama in a troublesome situation?"
2-13-11,"Oh, cruel one! One with sinful thoughts! Oh, kaikeyi! why are you planning to doharm to Rama who is beloved to me and who is truly heroic? I shall certainly get unequalled illfame and humiliation in this world."
2-13-12,"While Dasaratha was thus lamenting with his disturbed mind, there was approach ofnight with setting of the sun."
2-13-13,"To Dasaratha, who was thus lamenting painfully, the night seemed to be dark eventhough it was adorned with charming circular moon."
2-13-14,"The aged Dasaratha was lamenting painfully as though afflicted with a disease, withlot and hard breaths, having his eyes fixed on the sky."
2-13-15,"Oh, auspicious night, decorated with stars! do not wish you to do break into adawn. Have mercy on me. I pray with folded hands."
2-13-16,"Otherwise, Oh, Night! Leave away quickly. I do not went to see Kaikeyi, who isshameless, cruel and for whose reason this great calamity occurred"
2-13-17,"The king spoke like this and beseeched kaikeyi with folded hands. He again spokethis word to Kaikeyi."
2-13-18,"Oh, auspicious queen! I am a well conducted man. I am dejected and seeking refusein you. I am an old man and especially a king. Be kind to me."
2-13-19,"Oh, well-hipped one! I hope that whatever I told, has not merged in the sky. Oh!young woman, be kind to me . You are good-hearted."
2-13-20,"Oh, queen with dark outer corner of eyes be kind. You your self give my kingdom toRama. Thus, you will obtain great fame."
2-13-21,"Oh, broad hipped, with beautiful face and eyes! do this. It will be pleasing to me,to Rama, to the world, to priests and to Bharata."
2-13-22,"Hearing the king, who was her pure-hearted husband and who was pitifully lamentingstrangely with red eyes filled with tears, that bad tempered cruel woman did not follow hiswords."
2-13-23,"Seeing his discontented wife talking unpleasantly about sending Rama to forest, thatking was distressed, fainted again and fell down unconscious on the floor."
2-13-24,"While the distressed and self-respected king was sighing terribly in the way, thatnight came to an end. In the dawn, bards and singers started to awaken him. But the excellent kingprevented them to do."
2-14-1,"That wicked woman spoke these words to Dasaratha, tormented as he was by the anguishfor his son and who was unconscious, tossing about on the floor."
2-14-2,"What is this? After hearing the promise given to me, you are lying on the floordejected as though you had committed a great sin. You ought to keep yourself within bounds ofethics."
2-14-3,"People who know what is right, indeed speak of truthfulness as highest virtue. Itoo have taken refuge in truth and made you aware of your duty."
2-14-4,"Oh, king! Having made a promise to a hawk and offering his body to the bird , kingSaibya, the ruler of world obtained the greatest destiny."
2-14-5,"In that manner, Alarka the glorious man plucking his own eyes, indeed gaveremorselessly, to a brahmana skilled in the Veda, When asked for them."
2-14-6,"Following ruthfulness, ocean the lord of rivers even at the time of flow-tide, doesnot transgress even to a small extent its boundary because of its compliance to truth."
2-14-7,"Truth is one word and is Brahma. On truth is righteousness established. Truthindeed is the knowledge imperishable. By truth alone, the supreme being is obtained."
2-14-8,"O the best among men! firmly adhere to truth, if your mind is fixed on piety. Sinceyou are a bestower of boons, let my aforesaid prayer be granted."
2-14-9,"In the matter, yearning righteousness and to concede to my request, send Rama theson to exile. I am telling to you three times."
2-14-10,"Oh, the venerable man! If you do not implement our agreement, it means you haveabandoned me. Hence I will give up my life here in front of you."
2-14-11,"Thus compelled by Kaikeyi, who had no uneasiness in her mind, king Dasaratha couldnot untie the cord of plighted word that fettered him , any more than Bali could unloose the nooseplaced (round his body) by Indra(through his younger brother Vamana in order to deprive him of hissovereignty of the three worlds)."
2-14-12,"Like a bullock throbbing between yoke and the wheel , Dasaratha got agitated inheart and became pale in his face."
2-14-13,"King Dasaratha, with bedimmed eyes, was unable, as it were, to see. But withdifficulty, he controlled himself by recourse to firmness and spoke to Kaikeyi as follows."
2-14-14,"Oh, wicked woman! I abandon your hand, which was clasped by me in presence ofnuptial fire, when it was consecrated by sacred recitations as also your son begotten by me alongwith yourself."
2-14-15,"Oh, Queen! the night has gone by, with the return pf rising sun. Elderly peoplewill certainly quicken me for installation of Rama with the sacred materials procured for thepurpose."
2-14-16,"Oh, woman of vicious conduct! If you obstruct Rama's installation, you includingyour son cannot offer me water. Rama will be made to do the offering of water to me, afterdeath."
2-14-17,"Having seen people with that joy before, I cannot see them with there happinessended, without any merriment and having their faces turned downward in grief."
2-14-18,"While that great souled king was speaking to her as aforesaid, the holy nightendowed with, moon and stars began to become clear into a dawn."
2-14-19,"Kaikeyi of vicious conduct and of skilful talk, filled with anger again spoke theseharsh words to the king."
2-14-20," Oh, king ! You are uttering words, which cannot be swallowed easily like in apainful throat disease. You ought to summon your son Rama here without any delay."
2-14-21,"You will be the one who discharges duty, by installing my son to this kingdom, bymaking Rama to wander in woods and rid me of enemies."
2-14-22,"Impelled again and again by Kaikeyi, like an excellent horse being severely thrashedwith a whip, that king spoke these words to Kaikeyi."
2-14-23,"I am bound by the ties of morality. I lost my judgement. I wish to see the piousRama, my beloved elder son."
2-14-24,"Meanwhile, the night began to become clear, with the rising of sun. While theauspicious, moment united with lunar mansion approaching, the sage Vashishta who is rich in virtuessurrounded by his disciples entered the capital city of Ayodhya briskly, having procured therequisite materials for Rama's coronation."
2-14-25,"Passing through that city, whose streets were swept and watered decorated with ,excellent flags, overspread with colourful flowers , made brilliant with various types of garlands,filled with people of joy, with shops and markets with abundance, filled with lot of festivities,anxiously waiting for Rama, fumigated on all sides with perfumes of sandalwood , also resemblingAmaravathy city(capital of Indra); the sage Vashishta beheld the excellent, gynaecium filled withmany a number of brahmanas, crowded with citizens and countrymen, looking splendorous withbrahmanas, knowers of sacrificial assembly filled with excellent brahmanas."
2-14-26,"Sage Vashishta, being well pleased of seeing that gynaecium, got past those peoplethere and , entered it."
2-14-27,"Meanwhile, Vashishta saw Sumantra by name, who was charioteer-cum-minister ofDasaratha and who had a pleasing appearance coming out of the royal gate."
2-14-28,"That great splendoured Vashishta spoke thus to the learned Sumantra, ""Tell the kingquickly, that I have come."""
2-14-29,"These pitchers filled with holy waters of ganga , gold pitchers with sea water andan excellent seat with Udambara wood came for the purpose of Rama's installation ceremony. Alltypes of seeds, fragrant substances and precious stones of various kinds, honey, curd, clarifiedbutter, parched grains of paddy, blades of Darbha grass, flowers, milk, eight beautiful virgins ,an elephant in rut, a glorious chariot with four horses, a special kind of sword called Nistrimsa,an excellent bow , a palanquin with bearers an umbrella resembling the moon , a pair of whitechowries, a golden jug, a white bull with large , humo on its back, an excellent lion withbeautiful mane with large canine teeth, a throne, a tiger skin, fire with ignition , all varietiesof musical instruments,courtesans, women decked with ornaments, teachers, brahmanas, cows, animalsand birds which are sacred, the best of citizens and men of country side, merchants along withtheir followers, all these and many other retainers speaking kind words, along with kings standwaiting for Rama's coronation."
2-14-30,"Hasten the emperor, so that Rama will get the throne when the day gets started atthe auspicious moment of pushya constellation uniting with the moon"""
2-14-31,"Hearing these words Vashishta the great souled, Sumantra entered the gynaecium alongwith Dasaratha, the tiger among kings."
2-14-32,"The doormen , who were wishing to do kindness to king, could not obstruct Sumantra,who came before hand who was senior and who was highly esteemed by the king."
2-14-33,"Standing besides the king and ignorant of that situation, Sumantra started praisingthe king with very pleasing words."
2-14-34,"Sumantra, standing with joined palms in the gynaecium of the king, eulogised theking according to the appropriate moment as follows."
2-14-35,"How the splendid ocean gladdens at the time of sunrise, so do you by nature filledwith delight, gladden us with your delighted mind."
2-14-36,"At the very hour of sunrise, Matali (Indra's charioteer)praised Indra and thelatter conquered all the demons. In the same manner, I am awakening you."
2-14-37,"As Vedas along with the knowledge of the limbs of the body guide Lord Brahma (thecreator) who is self born, so am I awakening you now."
2-14-38,"Even as the sun along with the moon awaken the beautiful earth which sustains thebeings so, am I awakening you."
2-14-39,"Having dressed suitably for the auspicious ceremony and shining brightly with youpersonality, raise up. Oh, Majesty, like the sun from mount Meru."
2-14-40,"Oh, Dasaratha born in Kakutsa dynasty! May the Gods -Sun and the Moon Shiva andKubera, Varuna, Agni and Indra bestow you victory!"
2-14-41,"Oh, the best of the kings ! The holy night has gone by. Know what has been done anddo what has to be done. All the requirements for Rama's coronation is kept ready ."
2-14-42,"The venerable Vashishta himself stands waiting at the gate along with brahmanas,being saluted saluted with joined palms by citizens, village folk and merchants."
2-14-43,"Oh king! Give orders quickly for Rama's coronation ceremony. A kingdom without aking is like cattle without a herdsman, army without a commander, night without the moon and cowswithout a bull."
2-14-44,"King Dasaratha hearing his words which were soothing and meaningful, was surroundedwith grief once more."
2-14-45,"That king who was pious and glorious, having lost joy about his son, looked up withsorrowful red eyes and spoke those to Sumantra. ""You are chopping off my vitals further more, withyour words!."""
2-14-46,"Sumantra, after seeing the depressed king and hearing mournful words, joined palmswith salutation and slipped away to a distance from that place."
2-14-47,"Dasaratha could not say any thing himself because of depression. Then, Kaikeyi whois experienced in fore-thoughts, spoke thus to Sumantra."
2-14-48,"Oh Sumantra! The king, being smitten by emotional joy in relation to Rama, whotired of awakening the whole night and got subjected to sleep"
2-14-49,"Oh, Sumantra! Hence, quickly go and bring the glorious prince Rama. Blessedness toyou! Do not have any hesitation in this matter. "
2-14-50,"He was thinking of that auspicious occasion in heart and rejoiced. With pleasure,he set out, by the orders of the king."
2-14-51,"Instigated by her, Sumantra thought that the righteous Rama would come therecertainly for coronation."
2-14-52,"Sumantra thus thinking and dwelling in a great joy, set out with a desire to see thelong armed Rama"
2-14-53,"Sumantra coming out of gynaceumwhich looked like a splendid pool in the sea, saw thegate being congested with throngs of people."
2-14-54,"Afterwards, proceeding further on, he saw near the gate some kings stationed thereand very rich citizens having arrived there."
2-15-1,"Those brahmans skilled in Vedas stayed there all the night and arrived at a nearby place along with the royal priest, Vashishta."
2-15-2,"Ministers, army chiefs, prominent leaders of the city assembled there, welcoming the cause of Rama&#39;s coronation."
2-15-3,"The best of brahmanas were prepared to do Rama&#39;s coronation in day-time after the sun rises clearly at the arrival of Pushya star and on arrival of Rama&#39;s auspicious birth time of Cancer."
2-15-4,"Golden water-pots, well-decorated throne and chariot covered well by shining tiger-skin were impressive."
2-15-5,"Water was brought from auspicious conjunction of rivers ganga and Yamuna, from other rivers, lakes, wells, ponds, from streams flowing eastwards, from streams which joined together and from oceans in all sides."
2-15-6,"Gold and silver pots filled with best water together with popped grain and covered by milky sapped leaves, lotuses and water-lilies were shining there."
2-15-7,"Honey, curd, clarified butter popped grain, sacred grass, flowers and milk were kept ready. Harlots adorned with all types of ornaments were also glimmering there."
2-15-8,"An excellent fly-flopper which was like spread-out rays of moon, made of gold, adorned with diamonds was kept ready for Rama."
2-15-9,"A white umbrella like circular moon, which was kept in advance for the occasion of coronation was also kept ready."
2-15-10,"A white bull, a white horse a mighty and beautiful elephant which was fit to be mounted by kings were readily waiting."
2-15-11,"Eight auspicious virgins adorned all types of ornaments, various types of musical instruments, panegyrists and others were also waiting."
2-15-12,"The people who gathered there after getting the things required as per orders of king for coronation ceremony to be held in a kingdom of Ikshhvaaku dynasty, could not sight the king and discussed among themselves about how to inform the king regarding their arrival."
2-15-13," The king is not being seen. The sun has risen. Everything is ready for the coronation of Rama, the wise."
2-15-14,"Sumantra, who received good respect from Dasaratha, heard them thus speaking and addressed those kings, who came from different countries."
2-15-15,"I am going to Rama quickly as per king&#39;s directions. But, you are all worthy of worship by Dasaratha and by Rama in particular."
2-15-16,"I shall ask as your word about the well-being of king who is now awake and also about the reason of his not coming here."
2-15-17,"That Sumantra, knower of sacred works spoke thus, approached entrance of royal palace and entered the inner quarters which is always kept closed."
2-15-18,"He entered the inner quarters and praised the king&#39;s dynasty. He approached the royal bedroom and stood there at a distance."
2-15-19,"He entered the bedroom, approached nearer to the curtain there and praised Dasaratha&#39;s qualities with blessings."
2-15-20,"Oh, king Dasaratha! Let sun and the moon, guardians of the world like Shiva and Kubera, Varuna, Agni and Indra grant victory to you!"
2-15-21,"Oh, the best of kings! The venerable night has gone. The auspicious day has come. Wake up and do whatever needs to be done thereafter."
2-15-22,"Oh, king Dasaratha ! Brahmanas, chiefs of armed forces and traders are waiting to see you. Please wake up."
2-15-23,"Then, Dasaratha woke up and spoke these words to Sumantra, who was eulogising him, who was skilled in giving advice and who was his charioteer."
2-15-24,"Why have you not followed my orders even though you were asked by her to bring Rama."
2-15-25,"King Dasaratha ordered that charioteer there again thus -  I am not sleeping. Bring Rama here soon."
2-15-26,"He listened to king&#39;s words, bowed his head in salutation to him, thought for goodness of king, and came out of the king&#39;s palace."
2-15-27,"That Sumantra with placid mind, went happily seeing the royal roads adorned with flags and banners."
2-15-28,"Sumantra heard the words pertaining to Rama and Rama&#39;s coronation spoken together by joyful people there."
2-15-29,"Then, Sumantra saw Rama&#39;s palace which was lovely shining like top of a mountain and radiant like Indra&#39;s palace."
2-15-30,"Rama&#39;s palace was beautiful with large doors and adorned with hundreds of raised quadrangular seats. There were festooned decorations over doorways with gems and corals. It was adorned with various precious stones and the best of garlands. Pearls were scattered all over abundantly. It was decorated with sandal and aloe woods, spreading out beautiful smells like the peak of a Darddura Mountain. Cranes and peacocks were singing sweetly. Figures of wolves and other art forms were sculptured here and there. It was attracting the eyes and minds of living beings by its brilliance. It was shining like a constellation of moon and the sun. It was full of various kinds of birds. It was as high as Meru mountain. Sumantra saw such a palace of Rama. People who came from different rural parts to see Rama&#39;s coronation were waiting with different gifts in their hands. That house decorated with various diamonds, was looking high like a great cloud. Hunch backed servants and servants of kirata tribe were moving all over the house."
2-15-31,"That Sumantra with chariot fastened with horses and having a top, approached towards Rama&#39;s palace, beautifying the human and the royal races, gladdened the hearts of all citizens."
2-15-32,"That palace of the great souled Rama was like Indra&#39;s palace with great wealth. It was filled with various deer and peacocks. After approaching that palace, he became quite thrilled."
2-15-33,"The inner apartments of Rama&#39;s palace were well decorated, high as Kailasa mountain and like abodes of deities. Sumantra entered there, passed over many of Rama&#39;s friends who well wishers and approached Rama&#39;s inner apartment."
2-15-34,"There, Sumantra heard delightful people talking about Rama&#39;s coronation and the rites to be performed for the sake of Rama&#39;s prosperity."
2-15-35,"Rama&#39;s palace was as high as top of the Meru mountain, shining with radiance. The mansion was filled with birds and antelopes. It was like Indra&#39;s mansion. Sumantra saw such a beautiful house of Rama."
2-15-36,"He saw crores and millions of rural folk and other people with folded hands approaching the area leaving their respective vehicles."
2-15-37,"There he saw a beautiful elephant called Satrunjaya with highly elevated body and Rama&#39;s royal conveyance. It was like a great cloud and a mountain. It was intoxicated, uncontrollable and intolerable."
2-15-38,"The ministers in chief who were beloved to the king, were well-adorned and came there on horse-carriages and elephants. Sumantra passed over the people gathered there on all sides and entered the rich inner apartment."
2-15-39,"Then, that Sumantra entered Rama&#39;s palace, which was like top of a mountain, like an unmoving cloud, which contained houses equal to excellent divine cars, like crocodile entering the ocean containing a number of precious stones. Nobody obstructed him."
2-16-1,"That Sumantra, who knew the ancient sacred works, passed over the crowded entranceof the palace and reached the secluded inner apartment. In that area of the inner apartment, someyouths , wearing darts and bows, were on security-duty with due vigilance and attention. They wereall greatly devoted to the king and were wearing polished ear-rings."
2-16-2,"There he saw aged palace-supervisors wearing orange coloured clothes, adorningthemselves well, having canes in their hands, well composed and being posted at door-ways."
2-16-3,"All of them, the well-wishers of Rama, saw that Sumantra arriving and raised fromtheir seats hurriedly at once."
2-16-4,"That humble-minded Sumantra spoke to them thus, ""Tell Rama immediately that Sumantrais waiting with reverence at the entrance"""
2-16-5,"They, the well-wishers of their master, approached Rama who was with his wife andimmediately informed him."
2-16-6,"Knowing that Sumantra, who was intimate to his father, came, Rama who desired toshow kindness, called him in there."
2-16-7,"That Sumantra saw Rama sitting like Kubera on a golden couch with the bestcloth-covering. He adorned himself well and had the body anointed with sandal perfume, purelysmelling like blood of a boar. With Sita, standing on his side with chowrie in her hand, Rama wasshining like moon with chitra star."
2-16-8,"Sumantra, who knew polite conduct, offered salutation to Rama, who was refined withhis own brilliance, shining like the sun and the fulfiller of desires."
2-16-9,"Sumantra, who was treated with respect by Rama spoke thus with folded hands to thatprince with beautiful face and who was seated on a swinging sofa."
2-16-10,"Oh Rama, the good offspring of Kausalya! Your father and the Queen Kaikeyi want tosee you. Go there soon."
2-16-11,"That best of men with great brilliance was pleased to hear those words, thenhonoured him and spoke thus to Sita."
2-16-12,"Oh Sita! The king and the queen together are thinking of something about me,relating to coronation. It is certain."
2-16-13,"Then black-eyed Kaikeyi who is dexterous and friendly disposed, has perceived theking's opinion and is inciting him for my sake"
2-16-14,"Kaikeyi, my mother is following the king's intentions with great pleasure, desirousof my benefit and prosperity"
2-16-15,"It is certainly our luck that king and queen have sent Sumantra, who fulfils mydesires and wishes, as messenger."
2-16-16,"A worthy messenger has come who is truly representing the assembly there. It iscertain that today itself the king will anoint me for the right of succession to kingdom."
2-16-17,"I shall go immediately and see the king. You stay happily with the circle offriends and enjoy yourself."
2-16-18,"Sita, treated with respect by her husband and having black eyes, followed herhusband up to the door, thinking of auspicious things in her mind."
2-16-19,"King Dasaratha will give you kingdom, being served by brahmanas, which will investyou with eligibility to perform the great sacrifice at the coronation ceremony like Brahma toDevendra."
2-16-20,"I shall be delighted to see you, initiated for the perfect religious act ofausterity, wearing excellent antelope-hide, being pure and bearing a deer-horn in hand."
2-16-21,"May Indra the god of rain in the east, Yama the god of death in the south, Varunathe regent of the ocean in the west and Kubera the god of riches and treasure in the north, protectyou."
2-16-22,"Rama, adorned as in an auspicious festivity, took permission from Sita and startedfrom house along with Sumantra."
2-16-23,"That Rama who came out, like a lion residing in a mountain cave from out of themountain, saw Lakshmana standing at the door, bowing with palms of the hand joined and put to theforehead as a mark of respect."
2-16-24,"Then, that prince the best of men, met his friends in the middle chamber. He saw allthe people who came there to behold him, approached nearer to them, greeted them and mounted theexcellent chariot, which was resplendent like fire and covered with tiger's skin."
2-16-25,"That chariot was sounding like thunder. It was not congested. It was decorated withgold and jewels. Its splendour was like that of Meru mountain, stealing the eyes. Excellent horseslooking like infantine elephants were tied to the chariot, which was moving quickly. That Ramashining with splendour like Indra, the lord of sky, mounted such a chariot and went forthquickly."
2-16-26,"That splendid chariot, sounding like rain-cloud in the sky, came out of the houselike moon coming out of a mighty cloud."
2-16-27,"Lakshmana, Rama's younger brother mounted the chariot in the back-side and protectedRama with umbrella and chamara fan."
2-16-28,"Then, the crowds started dispersing from all sides generating tumultuous hallowingsound."
2-16-29,"Thereupon, hundreds and thousands of important people mounted on excellent horsesand soldiers mounted on elephants, then followed Rama."
2-16-30,"Valiant persons, dressed in armour adorned with sandal and aloe perfumes, wearingswords and bows, declaring the arrival of Rama, went in front of Rama to receive him."
2-16-31,"At that time, sounds of musical instruments, sounds of praising hymns of panagyristsand lion-like roars of valiant persons were heard on the way."
2-16-32,"While Rama, the annihilator of enemies, was going, well-adorned women standing inporticoes of palaces, sprinkled flowers on him from all sides."
2-16-33,"Women of exquisitely beautiful form standing in palaces and on ground were offeringsalutations to Rama with the best words with a desire to please Rama."
2-16-34,"Oh, Rama, who creates happiness to mother! Have successful journey! Your motherKausalya will be certainly delighted to see you obtaining the paternal kingdom."
2-16-35,"Those women thought that Sita, who is dear to Rama's heart, is better woman than allwomen."
2-16-36,"As Rohini star stays together with the moon, Sita having obtained Rama as husbandmust have certainly performed a great penance in former times."
2-16-37,"While going through the royal road, Rama heard those pleasant words spoken thus bywomen standing in turrets."
2-16-38,"Then, Rama heard the words of people gathered there and also the words variouslypertaining to himself, by citizens."
2-16-39,"By the king's propitiousness, this Rama today is going to obtain this earth and thewealthy kingdom. All our desires are going to be fulfilled because Rama will become the ruler."
2-16-40,"If Rama rules this state for a long time, it will be a great benefit to the people.If he becomes a king none can see dislike and sorrow at any time."
2-16-41,"While bards and panegyrists were moving in front praising with great respect,invoking blessings and eulogised by the most excellent instrumentalists, Rama, like Kubera the godof wealth, went with resounding horses and elephants."
2-16-42,"Rama saw the great royal road which was spotlessly clean, having diamonds andvarious vendible commodities. It was full of male and female elephants, horses and chariots. Therewas abundance of people gathered at road junctions."
2-17-1,"Rama the glorious man, who was with his joyful friends, ascended the chariot and saw the city which was decorated with flags and banners, which was perfumed all around by burning excellent aloe wood and which was endowed with varied types of people."
2-17-2,"That Rama went through the royal passage which was incensed with aloe wood. That royal street was splendid with white houses resembling clouds."
2-17-3,"Rama entered that excellent royal route, which was filled with sandal, superior aloe-wood, excellent perfumes, silk and linen cloth, heaps of them, unpierced pearls, excellent things made of crystal, splendid with various kinds of flowers and eatables and which was not congested."
2-17-4,"Rama saw that royal route like divine passage in heaven. All the road junctions there were regularly worshipped with yoghurt, unbroken rice, clarified butter, fried grain, incense, aloe and sandal and all types of garlands and perfumes."
2-17-5,"Hearing the various blessing words spoken by his friends, he went acknowledging all those people suitably."
2-17-6,"Get coronated today, take the path followed by your grandfathers and great grandfathers and rule the kingdom."
2-17-7,"If Rama becomes king, we shall be more happy than when his father ruled and also when his grandfathers ruled."
2-17-8,"If we can see Rama going forth in the city after getting coronated today, it is enough of eating or other activities."
2-17-9,"There is no other dearer thing to us than coronation of Rama of unbounded splendour."
2-17-10,"Rama, though hearing of these good, words spoken by his friends about himself was passive and went in royal route."
2-17-11,"Though Rama became distant, no one could turn back one&#39;s eyes and mind from him, the best of men."
2-17-12,"All the people blamed the one who did not see Rama and the one who was not seen by Rama. Such a person would blame himself of it."
2-17-13,"Rama, the virtuous, had compassion towards all the four classes of men and towards the aged people. Hence, they were all devoted to him."
2-17-14,"Rama went by crossing road junction, god&#39;s paths, sacred trees and temples keeping his right side towards them."
2-17-15,"Rama approached the royal abode and entered his father&#39;s palace which was the best palace with blazing radiance like the palace of king of celestials on earth. All around the house, there were various types turrets looking like Mount Kailasa, as group of clouds, as white heavenly cars touching the sky. There were royal houses named vardhamana which were adorned with a net of precious stones."
2-17-16,"Rama the best of men crossed with chariot three enclosures protected by men armed with bows and moved over the other two enclosures by foot."
2-17-17,"That Rama passed over all the gates, sent all the people back and entered the palace."
2-17-18,"When Rama went nearer to his father, all the people there were delighted waiting for his return as the ocean waits for raising of the moon."
2-18-1,"Rama saw his father sitting on a beautiful seat, but with his face lookingcompletely parched up and miserable. Kaikeyi was at his side."
2-18-2,"Rama being humble and well composed, first reverentially saluted his father's feetand then saluted Kaikeyi's feet."
2-18-3,"Dasaratha spoke only one word ""Rama!"" with his eyes filled with tears and dejected,being not able to see or to talk any further words."
2-18-4,"Having not seen earlier such a fearful form of his father, even Rama was frightenedas though he seized a snake by his foot."
2-18-5,"That king Dasaratha was sighing heavily with senses sans pleasure, emaciated withgrief and anguish, with distressed and agitated mind, like ocean which cannot be perturbed,becoming perturbed with row of waves, like sun which is eclipsed and who lost lustre like by a sagewho spoke untruth."
2-18-6,"Contemplating over the unimaginable sorrow of the king, he was very much perturbedas an ocean does on a full moon day."
2-18-7,"The ingenious Rama, who is fond of his father's welfare, anxiously thought : "" whyindeed the king is not greeting me in return just today?"""
2-18-8,"At other times, the father, even though angry used to be gracious after seeing mewhy today such a father has become weary after seeing me?"
2-18-9,"Rama indeed distressed and afflicted with grief, with lustre faded from his face,offered his salutation to Kaikeyi and spoke these words."
2-18-10,"I hope that I have not done anything wrong through ignorance. Tell me why father isangry with me. You alone propitiate him in my favour."
2-18-11,"Why my father, who was always affectionate to me, has become displeased? With hisface becoming pale and dejected, he is not talking to me."
2-18-12,"I hope that either bodily affliction or mental distress is not troubling him. Theobject of happiness is indeed difficult to be attained always!"
2-18-13,"I hope that no bad thing occurred to Bharata, the delightful man to look at or toShatrughna, the man of great strength or to my mother. "
2-18-14,"If our father becomes angry, I do not desire to live even for a moment withoutsatisfying him or without fulfilling his command."
2-18-15,"Man sees father as the visible god who is the root cause of one's own coming intoexistence and how else can he behave towards him other than like that?"
2-18-16,"I hope you have not spoken anything which hurt my father's conscience with yourpride and anger."
2-18-17,"I am asking you why my father got this perturbation, which was not there earlier.Tell me the true position."
2-18-18,"Thus questioned by the great souled Rama, Kaikeyi fearlessly spoke these words forher own benefit, without any shame on her part."
2-18-19,"Oh, Rama! The king is not angry. There is nothing of distress for him. But he hassomething in mind which he is not telling from fear."
2-18-20,"To him, words are not coming off to tell disagreeable utterance to you, the dearone. He promised me a word. It is to be certainly done by you."
2-18-21,"Long ago, the king honoured me and gave me a boon. Like a common man, he isrepenting now for having given the boon."
2-18-22,"This king promised me to give the boon and now he desires to build a dam wastefullyon a place where water has gone away."
2-18-23,"Oh, Rama! It is known by even wise men, that truth is the root of righteousness.See that the offended king does not abandon such a truth for your sake."
2-18-24,"The king is about to mention that truth which may look auspicious or inauspiciousto you. Still, I shall tell you all that, if you shall do it afterwards."
2-18-25,"If what is spoken by the king does not create unfavourableness in you, I shall thentell you. This king will not indeed tell you."
2-18-26,"After hearing the words of Kaikeyi, Rama felt painful and spoke thus to her in thepresence of the king."
2-18-27,"Oh, queen! what a pity! Do not talk like that to me. If father tells me, I shalljump even in fire. If father, who is a king, who wishes my welfare and who is venerable, commandsme, I shall eat fiery poison and shall sink into an ocean."
2-18-28,"Oh queen! Tell me the words of the king as desired by him. I even promise to do it.Rama does not speak two things."
2-18-29,"That vulgar Kaikeyi uttered very cruel words to that Rama, who was committed tosincerity and speaking of truth."
2-18-30,"Oh, Rama! During a battle and a great war between celestials and demons long ago, Iprotected your father who was pierced by darts. Then, he gave me two boons."
2-18-31,"Oh, Rama! According to those boons, I asked the king for coronation of Bharata andfor your going to Dandaka forest today itself."
2-18-32,"Oh, Rama! If you want to make yourself and your father faithful to a promise,listen to these words of mine."
2-18-33,"Abide by your father's command. As per his assurance, you have to stay in theforest for fourteen years."
2-18-34,"Bharata is to be enthroned with the use of complete collection of materials alreadyarranged by the king for your sake."
2-18-35,"You have to leave this coronation function and dwell in the forest of Dandaka forfourteen years, wearing braided hair and covered with a hide."
2-18-36,"Let Bharata rule this earth, by residing in Ayodhya filled with various types ofprecious thing together with horses, chariots and elephants."
2-18-37,"For this reason, king Dasaratha who is overwhelmed with sympathy towards you is notable to see you with his face, afflicted with grief."
2-18-38,"Oh, Rama! Do as per the words of the king and liberate him by giving your father anopportunity to maintain the truth."
2-18-39,"Though she was speaking such harsh words, Rama was not affected with sorrow. But themighty Dasaratha became highly disturbed, having been afflicted by the calamity occurred to hisson."
2-19-1,"Rama the annihilator of enemies heard those harsh and deadly words but wasunruffled. He spoke these words to Kaikeyi."
2-19-2,"Let it be, as you said it. I shall fulfil the king's promise, go to the forest fromhere to reside there, wearing braided hair and covered with a hide."
2-19-3,"But I want to know why the king, the inviolable and the subduer of enemies, is notgreeting me today as before."
2-19-4,"Oh, queen! you need not be indignant. I am telling before you that I shall go tothe forest, wearing rags and braided hair. Become delighted well."
2-19-5,"How can I not do faithfully an action dear to my father, as commanded by him aswell-wisher, venerable man, as person with right conduct and as king."
2-19-6,"My heart is burning indeed with one sorrowful feeling that king himself has notinformed me about Bharata's coronation."
2-19-7,"Without being asked, I myself would have gladly offered even Sita with kingdom,even my life, loved ones and wealth."
2-19-8,"Being directed by king, who is my father himself, how much more should I tell thatI can give everything to Bharata, duly obeying father's promise to fulfil your beloved desire."
2-19-9,"That is why, you console him. Why indeed the king is thus slowly shedding tears,with eyes gazed upon the floor?"
2-19-10,"Let messengers go now itself on fleet horses to bring Bharata from maternal uncle'shouse as per orders of the king."
2-19-11,"Immediately, I shall go to live in forest of Dandaka for fourteen years, withoutreflecting on whether my father's words are right or wrong."
2-19-12,"Hearing Rama's words, Kaikeyi felt glad that he would certainly go and urged him tomake haste at once."
2-19-13,"Let it be so. Messengers can go on horses having rapid speed, to bring back Bharatafrom his maternal uncle's house."
2-19-14,"But I think it is not quite appropriate for you who are enthusiastic to go toforest, to delay further."
